Brand Name,Item Name,Calories needed to have 50g of added sugar
Fanta,"Soda, Pineapple Mango, Prebiotic",188
Fanta,Strawberry Soda,182
Fanta,Pineapple Soda,197
Fanta,Orange Soda,182
Fanta,Strawberry Soda,182
Fanta,Pineapple Soda,197
Fanta,Orange Soda,182
Faygo,Creme Soda,200
Faygo,Cotton Candy Soda,200
Faygo,Bubble Pop! Soda,207
Faygo,Super Pop Soda,207
Faygo,Strawberry Redpop!,194
Faygo,Original Root Beer,198
Faygo,Firework Soda,202
Faygo,"Rock & Rye, Artificially Flavored Creme Soda",194
Faygo,Cola,200
Faygo,Peach Soda,196
Faygo,Cola!,200
Faygo,Redpop!,194
Fentimans,Ginger Beer,262
Fentimans,Rose Lemonade,289
Fentimans,"Cola, Curiosity, Traditional",214
Fentimans,Cherry Cola,214
Fentimans,Traditional Rose Lemonade,289
Fentimans,"Soda, Ginger Beer, Traditional",262
Fentimans,"Soda, Rose Lemonade, Traditional",289
Fentimans,Pink Ginger Beverage,238
Fever-Tree,Tonic Water,219
Fever-Tree,Elderflower Tonic Water,224
Fever-Tree,Distillers Cola,194
Fever-Tree,Ginger Beer,225
Fever-Tree,"Margarita Mix, Classic",214
Fever-Tree,"Ginger Beer, Premium",221
Fever-Tree,"Ginger Ale, Premium",235
Fever-Tree,"Ginger Beer, Non-Alcoholic, Premium",218
Fever-Tree,"Tonic Water, Indian, Premium",205
Fever-Tree,Refreshingly Light Ginger Beer,225
Frostie,Root Beer,186
Frostie,"Soda, Blue Cream",223
Frostie,Orange Soda,198
Frostie,Pink Lemonade,208
Frostie,WatermelonLemonade,190
Frostie,Strawberry Soda,196
Frostie,"Soda, Cherry Limeade",206
Frostie,Blue Lemonade,192
Frostie,"Lemonade, Strawberry",179
Frostie,Blue Cream Soda,190
Fruta,Premium Juice Fruit Punch,250
Fruta,"Juice Drink, Orange Carrot",294
Fruta,"Premium Fruit Juice, Guava Pineapple Juice Drink",281
Fuze,"Iced Tea, Lemon",207
Fuze,Lemon Plus Sweet Fruit Flavored Black Tea,182
Fuze,Lemon & Sweet Tea Fruit Flavored Black Tea,194
Fuze,Watermelon Lime Fruit Flavored Green Tea,190
Fuze,Pineapple & Mango Flavored Green Tea,190
Fuze,"Fruit Flavored Green Tea, Pineapple plus Mango",190
Fuze,Strawberry Peach Fruit Flavored Green Tea,190
Gatorade,"Thirst Quencher, Lemon-Lime",206
Gatorade,Lemon Lime Thirst Quencher,190
Gatorade,"Thirst Quencher, Fruit Punch",190
Gatorade,Cool Blue Thirst Quencher,190
Gatorade,"Thirst Quencher, Perform 02, Frost Glacier Freeze",190
Gatorade,"Thirst Quencher, Glacier Freeze",190
Gatorade,"Thirst Quencher, Orange",190
Gatorade,Lime Cucumber Thirst Quencher,190
Gatorade,"Thirst Quencher, Instant Mix, Glacier Freeze",190
Gatorade,"Fruit Punch Berry, Thirst Quencher",190
Gatorade,Midnight Ice Thirst Quencher,190
Gatorade,Glacier Freeze Glacier Cherry Thirst Quencher,190
Gatorade,"Thirst Quencher, Glacier Cherry",190
Gatorade,Lemon Lime Orange Thirst Quencher,190
Genuine Faygo,"Sodapop, Grapefruit Lime",194
Genuine Faygo,"Naturally Caffeine Free Drink, Deelicious Firework",211
Genuine Faygo,"Soda, Grape",195
Genuine Faygo,"Caffeine Free Drink, Firework",209
Genuine Faygo,Dee-licious Cola,200
Genuine Faygo,Fruit Punch Soda,199
Genuine Faygo,"Carbonated Water, Rock & Rye",196
Genuine Faygo,Orange Soda Pop,200
Glaceau,Energy Tropical Citrus Vitamin Water,196
Glaceau,Blue Raspberry Limeade Elevate Vitamin Water,205
Glaceau,"Vitamin Water, Active",217
Glaceau,Acai-Blueberry-Pomegranate Vitamin Water,192
Glaceau,Orange Orange Vitamin Water,185
Glaceau,Acai Blueberry Pomegranate Vitamin Water,182
Glaceau,"Vitamin Water, Acai Blueberry Pomegranate",192
Glaceau,Tropical Citrus Vitamin Water,185
Glaceau,"Vitamin Water, Tropical Mango Flavored",185
Glaceau,Dragonfruit Vitaminwater,196
Gold Peak,Iced Sweet Tea,198
Gold Peak,"Brewed Tea, Green Tea, Real",197
Gold Peak,"Brewed Tea, Sweet Tea, Real",188
Gold Peak,"Tea, Slightly Sweet",188
Gold Peak,"Brewed Tea, California Raspberry, Real",200
Gold Peak,"Brewed Tea, Real, Extra Sweet",199
Gold Peak,"Brewed Tea, Georgia Peach, Real",197
Gold Peak,Extra Sweet Brewed Tea,190
Gold Peak,Sweet Tea,188
Gold Peak,Lemon Flavored Tea & Lemonade,200
Gold Peak Tea,"Iced Tea, Sweet Tea",193
Gold Peak Tea,"Lemon, Real Brewed Tea",205
Gold Peak Tea,Green Tea,200
Gold Peak Tea,Peach with Real Sugar,195
Gold Peak Tea,Real Brewed Peach Tea,195
Harney & Sons,Organic Lemonade with Maple Syrup,200
Harney & Sons,Organic Orange Mango Juice Drink from Concentrate,194
Hawaiian Punch,Candy Jellies,333
Hawaiian Punch,Fruit Juicy Red Flavored Juice Drink,200
Hawaiian Punch,Fruit Juicy Red,211
Hawaiian Punch,"Juice Drink, Fruit Juicy Red",200
Hawaiian Sun,"Drink, Guava Nectar",234
Hawaiian Sun,Pass-O-Guava Nectar,221
Hawaiian Sun,Pineapple Orange Juice Drink,283
Hawaiian Sun,"Green Tea, Lychee",194
Hawaiian Sun,Passion Orange Juice Drink,194
Hawaiian Sun,"Passion Fruit, Lilikoi Jelly",188
Hawaiian Sun,Island Iced Tea,200
Hawaiian Sun,"Syrup, Coconut",261
Health-Ade,Citrus Immune Boost Kombucha,267
Henry Weinhard's,"Gourmet Soda, Black Cherry Cream",198
Henry Weinhard's,"Gourmet Soda, Vanilla Cream",200
Henry Weinhard's,Root Beer,220
Honest,Organic Honey Green Tea,184
Honest,"Herbal Tea, Organic, Berry Hibiscus Flavored",250
Honest Tea,"Half & Half, Just a Tad Sweet",200
Honest Tea,Honey Green Tea,184
Honest Tea,Organic Honey Green Tea,184
Hubert's,Lemonade,200
IBC,Root Beer,200
IBC,Cream Soda,205
IBC,Black Cherry Soda,198
Jarritos,Mandarin Flavor Soda,203
Jarritos,"Soda, Guava",212
Jarritos,Grapefruit Soda,206
Jarritos,Pineapple Flavored Soda,212
Jarritos,"Soda, Pineapple",200
Jarritos,Pineapple Natural Flavor Soda,206
Jarritos,"Soda, Strawberry",200
Jarritos,"Soda, Fruit Punch",206
Jarritos,"Soda, Mandarin",200
Jarritos,"Soda, Tamarind",206
Joe Tea,"Tea, Peach",202
Joe Tea,"Tea, Raspberry",206
Joe Tea,"Half Lemon Tea, Half Lemonade",214
Joe Tea,Peach Tea,200
Joe Tea,Raspberry Tea Lemonade,217
Joe Tea,Sweet Joe Tea,208
Jones,Cane Sugar Cream Soda,206
Jones,"Soda, Berry Lemonade",212
Jones,"Cane Sugar Soda, Green Apple Flavor",212
Jones,Orange & Cream Soda,212
Jones,"Cane Sugar Soda, Root Beer",196
Jones,Birthday Cake Soda,207
Jones,Strawberry Lime Cane Sugar Soda,212
Jones Soda Co.,Berry Lemonade Soda,225
Kevita,"Sparkling Drink, Lemon Ginger, Probiotic Refresher",233
Kevita,Lemon Ginger Probiotic Refresher Sparkling Drink,225
