Pesticide Type,EPA Reg. #,EPA Prod Name,Volume in Gallons,Weight in Pounds,Total Applications,Active Ingredient Data,tox_cd,EPA Carcinogen,Prop65 Developmental Toxin,IARC Carcinogen
Rodenticide,DCAS,12455-79,CONTRAC ALL-WEATHER BLOX,0,13.81,17,Bromadiolone,3,NO,NO,NO
Rodenticide,DCAS,12455-80,DITRAC ALL-WEATHER BLOX,0,10.28,9,Diphacinone,3,NO,NO,NO
Rodenticide,DCAS,12455-139,Final Soft Bait,0,9.39,3,Brodifacoum,3,NO,NO,NO
Rodenticide,DCAS,12455-89,FINAL ALL-WEATHER BLOX,0,0.13,2,Brodifacoum,3,NO,NO,NO
Rodenticide,DCAS,100-1055,WEATHERBLOK BAIT WITH BITREX,0,0.22,1,Brodifacoum,3,NO,NO,NO
Insecticide,DCAS,100-1484,DUPONT ADVION COCKROACH GEL BAIT,0,7.56,317,Indoxacarb,3,NO,NO,NO
Insecticide,DCAS,101563-4,SUSPEND SC INSECTICIDE,1.42,0,241,Deltamethrin,3,NO,NO,NO
Insecticide,DCAS,2724-351,ZOECON RF-259 EMULSIFIABLE CONCENTRATE,0.46,0,134,(7S)-Hydroprene,3,NO,NO,NO
Insecticide,"DCAS ",101563-165,TEMPRID SC-F INSECTICIDE,0.55,0,70,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Insecticide,DCAS,64405-2,REDZONE BAIT,0,15.91,66,Boric acid,3,NO,NO,NO
Insecticide,DCAS,100-1498,DUPONT ADVION ANT GEL,0,1.33,37,Indoxacarb,3,NO,NO,NO
INSECTICIDE,DCAS,499-561,TC-315,0,0.11,17,Dinotefuran,3,NO,NO,NO
Insecticide,DCAS,73079-6,GREEN ZONE GRANULAR BAIT,0,3.91,9,Boric acid,3,NO,NO,NO
Insecticide,DCAS,89459-59,ENVI ACU CONTACT Insecticide,0.27,0,5,Phenylethyl propionate,3,NO,NO,NO
Insecticide,DCAS,499-370,PT 370 ASCEND FIRE ANT STOPPER BAIT,0,0.5,5,Avermectin,3,NO,YES,NO
INSECTICIDE,DCAS,53883-389,CSI 16-145 Lambda Cyhalothrin,0,0,5,"Cyhalothrin, lambda",3,NO,NO,NO
Insecticide,DCAS,1021-2796,MGK Formula 3113,0,0.02,4,Clothianidin; Pyriproxyfen,0,NO,NO,NO
Insecticide,DCAS,499-550,TC-323,0,0.09,3,Prallethrin,3,NO,NO,NO
Insecticide,DCAS,73766-1,GOURMET ANT BAIT GEL,0,0.02,2,Disodium octaborate tetrahydrate,3,NO,NO,NO
INSECTICIDE,DCAS,101563-5,ESP005 Insecticide,0.01,0,1,"Cyfluthrin, beta; Flupyradifurone",0,NO,NO,NO
Insecticide,DCAS,101563-6,DELTA DUST,0.01,0,1,Deltamethrin,3,NO,NO,NO
Insecticide,DCAS,101563-140,MAXFORCE QUANTUM ANT BAIT,0,0.18,1,Imidacloprid,3,NO,NO,NO
INSECTICIDE,DCAS,53883-455,CSI 16-172A Aerosol,0,0.13,1,"Imidacloprid, Indoxacarb, Novaluron, Pyriproxyfen",3,NO,NO,NO
Insecticide,DCAS,101563-93,TEMPO 1% PROFESSIONAL INSECTICIDE,0,0.06,1,Cyfluthrin,3,NO,NO,NO
