Pesticide Type	EPA Reg. #	EPA Prod Name	Volume in Gallons	Weight in Pounds	Total Applications	Active Ingredient Data	tox_cd	EPA Carcinogen	Prop65 Developmental Toxin	IARC Carcinogen
Insecticide,86203-11-59639,SAFARI 20SG INSECTICIDE,0.44,60,14,Dinotefuran,3,NO,NO,NO
Insecticide,73049-56,VECTOBAC WDG BIOLOGICAL LARVICIDE,0,17.6,14,"Bacillus thuringiensis, subsp. Israelensis, strain AM 65-52",3,NO,NO,NO
Insecticide,499-568,PT ALPINE PRESSURIZED FLY BAIT,0,3.46,13,Dinotefuran,3,NO,NO,NO
Insecticide,1021-2574,MGK FORMULA 2964,0,2,13,Esfenvalerate; Prallethrin; Piperonyl butoxide,3,YES,NO,NO
Insecticide,64405-2-74455,ECOLOGICAL ANT & INSECT BAIT,0.03,3.31,12,Boric acid,3,NO,NO,NO
Insecticide,73079-2,INTICE GRANULAR BAIT,0,0.29,12,Boric acid,3,NO,NO,NO
Insecticide,100-1485,DUPONT ADVION ANT BAIT ARENA,0,0.28,12,Indoxacarb,3,NO,NO,NO
Insecticide,53883-366,QUALI-PRO BIFENTHRIN GOLF & NURSERY 7 9F,4.83,0,10,Bifenthrin,3,YES,NO,NO
INSECTICIDE,53883-466-82540,"Strike Max Alacer Ant Gel Bait ",0,0.35,10,Indoxacarb,3,NO,NO,NO
Insecticide,101563-46,MAXFORCE FC ANT BAIT STATIONS,0,0.15,9,Fipronil,3,YES,NO,NO
Insecticide,149-8-64405,TERRO PCO LIQUID ANT BAIT,0.08,0,7,Borax,3,NO,NO,NO
INSECTICIDE,53883-444,CSI 16-189 Concentrate,0.02,0,7,"(7S)-Hydroprene, Pyriproxyfen, Imidacloprid",3,NO,NO,NO
Insecticide,53883-365,QUALI-PRO BIFENTHRIN I/T 7.9F,1.7,0,6,Bifenthrin,3,YES,NO,NO
Insecticide,62719-523,BLACKHAWK,0,21.44,6,Spinosad,3,NO,NO,NO
INSECTICIDE,432-1312-73220,QUALI-PRO IMIDACLOPRID 2F,12.25,0,5,Imidacloprid,NULL,NO,NO,NO
Insecticide,74578-10,TREE-AGE G4,2.41,0,5,"Emamectin, benzoate",3,NO,NO,NO
Insecticide,89442-24,BIFEN G/N 7.9SC SELECT,0.8,0,5,Bifenthrin,3,YES,NO,NO
INSECTICIDE,4-419,BONIDE ALL SEASONS HORTICULTURAL SPRAY OIL RTU,0.26,0,5,Mineral oil,3,NO,NO,NO
INSECTICIDE,100-1636,Provaunt WDG,0,48.84,5,Indoxacarb,3,NO,NO,NO
