type,InjuryOnly,agegroup,Annual_Average_Count,rate,flag,rank_unique,Intent,cause_text
ED,0,10 - 14,8331,1789.5821444,,4,,Infectious and parasitic diseases
ED,0,10 - 14,5452,1171.0725392,,8,,Factors influencing health status and contact with health services
ED,0,15 - 24,20844,2204.8466219,,9,,Dental diseases
ED,0,15 - 24,23354,2470.346359,,7,,Respiratory system diseases
ED,0,15 - 24,21338,2257.0298372,,8,,Infectious and parasitic diseases
ED,0,15 - 24,24774,2620.4788797,,6,,Musculoskeletal system and connective tissue diseases
ED,0,15 - 24,61097,6462.6443985,,1,"Injury, poisoning and other consequences of external causes","Injury, poisoning and other consequences of external causes"
ED,0,15 - 24,27909,2952.159627,,4,,"Pregnancy, childbirth and the puerperium"
ED,0,15 - 24,18764,1984.7956445,,10,,Digestive system diseases
ED,0,15 - 24,28841,3050.6730753,,3,,"Mental, behavioral and neurodevelopmental disorders"
ED,0,15 - 24,60761,6427.1033979,,2,,"Symptoms, signs and abnormal clinical and laboratory findings"
ED,0,15 - 24,25318,2678.0214522,,5,,Genitourinary system diseases
ED,0,25 - 34,27545,1987.7479062,,10,,Infectious and parasitic diseases
ED,0,25 - 34,32045,2312.5123431,,8,,Factors influencing health status and contact with health services
ED,0,25 - 34,35190,2539.4457331,,6,,Dental diseases
ED,0,25 - 34,47018,3393.0318412,,5,,Musculoskeletal system and connective tissue diseases
ED,0,25 - 34,28560,2061.0189583,,9,,Digestive system diseases
ED,0,25 - 34,50730,3660.9065741,,4,,"Mental, behavioral and neurodevelopmental disorders"
ED,0,25 - 34,34049,2457.1060051,,7,,Genitourinary system diseases
ED,0,25 - 34,57549,4153.0205546,,3,,"Pregnancy, childbirth and the puerperium"
ED,0,25 - 34,79896,5765.6812921,,2,"Injury, poisoning and other consequences of external causes","Injury, poisoning and other consequences of external causes"
ED,0,25 - 34,89611,6466.7356399,,1,,"Symptoms, signs and abnormal clinical and laboratory findings"
ED,0,35 - 44,23098,1994.9239485,,10,,Digestive system diseases
ED,0,35 - 44,23551,2034.0192183,,9,,Factors influencing health status and contact with health services
ED,0,35 - 44,23917,2065.6293849,,8,,"Pregnancy, childbirth and the puerperium"
ED,0,35 - 44,24977,2157.1779549,,7,,Dental diseases
ED,0,35 - 44,25940,2240.348967,,6,,Genitourinary system diseases
ED,0,35 - 44,27152,2345.0252565,,5,,Circulatory system diseases
ED,0,35 - 44,48214,4164.0780685,,4,,"Mental, behavioral and neurodevelopmental disorders"
ED,0,35 - 44,50163,4332.4353129,,3,,Musculoskeletal system and connective tissue diseases
ED,0,35 - 44,59739,5159.4240616,,2,"Injury, poisoning and other consequences of external causes","Injury, poisoning and other consequences of external causes"
ED,0,35 - 44,75247,6498.7969136,,1,,"Symptoms, signs and abnormal clinical and laboratory findings"
ED,0,45 - 54,17870,1744.0893917,,10,,Dental diseases
ED,0,45 - 54,20024,1954.3535216,,6,,Genitourinary system diseases
ED,0,45 - 54,29879,2916.2069952,,5,,Circulatory system diseases
ED,0,45 - 54,19519,1905.0652411,,7,,Digestive system diseases
ED,0,45 - 54,36458,3558.2885157,,4,,"Mental, behavioral and neurodevelopmental disorders"
ED,0,45 - 54,47717,4657.1731691,,3,"Injury, poisoning and other consequences of external causes","Injury, poisoning and other consequences of external causes"
ED,0,45 - 54,18613,1816.6066044,,8,,Infectious and parasitic diseases
ED,0,45 - 54,53925,5263.1424841,,2,,Musculoskeletal system and connective tissue diseases
ED,0,45 - 54,67078,6546.8825895,,1,,"Symptoms, signs and abnormal clinical and laboratory findings"
ED,0,45 - 54,18390,1794.9067475,,9,,Factors influencing health status and contact with health services
ED,0,5 - 9,3563,749.45783677,,10,,Musculoskeletal system and connective tissue diseases
ED,0,5 - 9,3778,794.6819274,,9,,External causes of morbidity
ED,0,5 - 9,4172,877.48758792,,8,,Ear diseases
ED,0,5 - 9,6113,1285.9067009,,7,,Factors influencing health status and contact with health services
ED,0,5 - 9,10060,2115.9966373,,6,,Dental diseases
ED,0,5 - 9,10438,2195.6471287,,5,,Digestive system diseases
ED,0,5 - 9,15384,3235.871328,,4,,Infectious and parasitic diseases
ED,0,5 - 9,21241,4467.9298094,,3,,"Symptoms, signs and abnormal clinical and laboratory findings"
ED,0,5 - 9,24062,5061.3820622,,2,"Injury, poisoning and other consequences of external causes","Injury, poisoning and other consequences of external causes"
ED,0,5 - 9,24741,5204.065821,,1,,Respiratory system diseases
ED,0,55 - 64,15949,1545.8621605,,10,,Respiratory system diseases
ED,0,55 - 64,17158,1663.0771984,,9,,Infectious and parasitic diseases
ED,0,55 - 64,17489,1695.0948673,,8,,Genitourinary system diseases
ED,0,55 - 64,17660,1711.7337164,,7,,Factors influencing health status and contact with health services
ED,0,55 - 64,19167,1857.7355786,,6,,Digestive system diseases
ED,0,55 - 64,33148,3212.8486808,,5,,Circulatory system diseases
ED,0,55 - 64,33464,3243.509395,,4,,"Mental, behavioral and neurodevelopmental disorders"
ED,0,55 - 64,46367,4494.169295,,3,"Injury, poisoning and other consequences of external causes","Injury, poisoning and other consequences of external causes"
ED,0,55 - 64,56466,5473.0182485,,2,,Musculoskeletal system and connective tissue diseases
ED,0,55 - 64,69027,6690.4327587,,1,,"Symptoms, signs and abnormal clinical and laboratory findings"
ED,0,65+,14183,1014.8494779,,10,,Nervous system diseases
ED,0,65+,14554,1041.3715136,,9,,"Mental, behavioral and neurodevelopmental disorders"
ED,0,65+,14699,1051.7227398,,8,,Factors influencing health status and contact with health services
ED,0,65+,17844,1276.7784313,,7,,Infectious and parasitic diseases
ED,0,65+,20369,1457.4717249,,6,,Digestive system diseases
ED,0,65+,22953,1642.3627509,,5,,Genitourinary system diseases
ED,0,65+,35436,2535.5018437,,4,,Circulatory system diseases
ED,0,65+,46929,3357.8519059,,3,,Musculoskeletal system and connective tissue diseases
ED,0,65+,53918,3857.9306134,,2,"Injury, poisoning and other consequences of external causes","Injury, poisoning and other consequences of external causes"
ED,0,65+,82249,5885.1013895,,1,,"Symptoms, signs and abnormal clinical and laboratory findings"
ED,0,<1,1405,1462.6874365,,10,,Ear diseases
ED,0,<1,2314,2409.0097708,,9,,Dental diseases
ED,0,<1,2542,2646.0241288,,8,,Skin diseases
ED,0,<1,3251,3384.1347284,,7,,Factors influencing health status and contact with health services
ED,0,<1,4308,4485.2277856,,6,,Digestive system diseases
ED,0,<1,4898,5098.7583639,,5,,Conditions originating in the perinatal period
ED,0,<1,5432,5655.3777347,,4,"Injury, poisoning and other consequences of external causes","Injury, poisoning and other consequences of external causes"
ED,0,<1,11873,12360.142612,,3,,Infectious and parasitic diseases
ED,0,<1,12468,12979.919543,,2,,Respiratory system diseases
ED,0,<1,16084,16744.387707,,1,,"Symptoms, signs and abnormal clinical and laboratory findings"
ED,0,All ages,154289,1847.3303592,,10,,Genitourinary system diseases
ED,0,All ages,158287,1895.1990396,,9,,Dental diseases
ED,0,All ages,163628,1959.1436782,,8,,Digestive system diseases
ED,0,All ages,167011,1999.6528583,,7,,Circulatory system diseases
ED,0,All ages,191574,2293.7455143,,6,,Infectious and parasitic diseases
ED,0,All ages,199552,2389.2633671,,5,,Respiratory system diseases
ED,0,All ages,221951,2657.4580853,,4,,"Mental, behavioral and neurodevelopmental disorders"
ED,0,All ages,291524,3490.4585316,,3,,Musculoskeletal system and connective tissue diseases
ED,0,All ages,432095,5173.5411277,,2,"Injury, poisoning and other consequences of external causes","Injury, poisoning and other consequences of external causes"
ED,0,All ages,530956,6357.2193685,,1,,"Symptoms, signs and abnormal clinical and laboratory findings"
Death,0,All ages,16380,196.12030612,,1,,Heart disease
Death,0,All ages,11429,136.84519854,,2,,Malignant neoplasms
Death,0,All ages,5804,69.492201264,,3,,Other natural causes
Death,0,All ages,4491,53.767455515,,4,,COVID-19
Death,0,All ages,4251,50.893897917,,5,Injury,Injury: Unintentional
Death,0,All ages,2175,26.037624687,,6,,Cerebrovascular disease
Death,0,All ages,1700,20.358357377,,7,,Diabetes
Death,0,All ages,1556,18.630231766,,8,,Influenza and pneumonia
Death,0,All ages,1428,17.097667713,,9,,Chronic lower respiratory diseases
Death,0,All ages,1283,15.365551049,,10,,Other diseases of nervous system
Death,1,All ages,2944,35.248973212,,1,Unintentional,Poisoning
Death,1,All ages,608,7.2756881981,,2,Unintentional,Fall
Death,1,All ages,282,3.3764301786,,3,Unintentional,Motor vehicle traffic
Death,1,All ages,266,3.184859672,,4,Homicide,Firearm
Death,1,All ages,202,2.4225686979,,5,Suicide,Suffocation
Death,1,All ages,165,1.9795619014,,6,Undetermined,Unknown mechanism
Death,1,All ages,152,1.8239108648,,7,Unintentional,Suffocation
Death,1,All ages,122,1.4647161649,,8,Suicide,Fall
Death,1,All ages,95,1.1374498829,,9,Homicide,Cut or pierce
Death,1,All ages,89,1.0696019951,,10,Suicide,Poisoning
Death,1,<1,16,16.656938778,,1,Undetermined,Unknown mechanism
Death,1,<1,7,6.9403911575,,2,Unintentional,Suffocation
Death,1,<1,2,2.0821173473,*,3,Homicide,Unknown mechanism
Death,1,1 - 4,3,0.7165159958,*,1,Homicide,Poisoning
Death,1,1 - 4,2,0.6269514963,*,2,Unintentional,Motor vehicle traffic
Death,1,1 - 4,2,0.5373869968,*,3,Undetermined,Unknown mechanism
Death,1,1 - 4,2,0.5373869968,*,4,Unintentional,Drowning
Death,1,1 - 4,2,0.5373869968,*,5,Unintentional,Suffocation
Death,1,1 - 4,2,0.4478224974,*,6,Unintentional,Fire or burn
Death,1,1 - 4,2,0.4478224974,*,7,Unintentional,Fall
Death,1,5 - 9,6,1.1919527762,,1,Unintentional,Fire or burn
Death,1,5 - 9,3,0.6310338227,*,2,Unintentional,Motor vehicle traffic
Death,1,10 - 14,3,0.6444300124,*,1,Homicide,Firearm
Death,1,10 - 14,3,0.6444300124,*,2,Suicide,Suffocation
Death,1,10 - 14,3,0.5728266777,*,3,Unintentional,Fire or burn
Death,1,10 - 14,2,0.4296200083,*,4,Unintentional,Drowning
Death,1,10 - 14,2,0.3580166736,*,5,Homicide,Cut or pierce
Death,1,15 - 24,89,9.3788751767,,1,Unintentional,Poisoning
Death,1,15 - 24,76,8.074294795,,2,Homicide,Firearm
Death,1,15 - 24,43,4.5836608006,,3,Unintentional,Motor vehicle traffic
Death,1,15 - 24,20,2.1155357541,,4,Suicide,Suffocation
Death,1,15 - 24,15,1.5513928864,,5,Suicide,Fall
Death,1,15 - 24,13,1.3750982402,,6,Homicide,Cut or pierce
Death,1,15 - 24,12,1.2693214525,,7,Suicide,Poisoning
Death,1,15 - 24,7,0.7051785847,,8,Undetermined,Unknown mechanism
Death,1,15 - 24,6,0.6699196555,,9,Suicide,Firearm
Death,1,15 - 24,5,0.4936250093,*,10,Unintentional,Fire or burn
Death,1,25 - 34,439,31.656173543,,1,Unintentional,Poisoning
Death,1,25 - 34,101,7.2645626216,,2,Homicide,Firearm
Death,1,25 - 34,50,3.6322813108,,3,Unintentional,Motor vehicle traffic
Death,1,25 - 34,44,3.1752392916,,4,Suicide,Suffocation
Death,1,25 - 34,27,1.9484422926,,5,Suicide,Fall
Death,1,25 - 34,24,1.7560035476,,6,Homicide,Cut or pierce
Death,1,25 - 34,22,1.5876196458,,7,Undetermined,Unknown mechanism
Death,1,25 - 34,20,1.419235744,,8,Suicide,Poisoning
Death,1,25 - 34,13,0.9140840385,,9,Unintentional,Fall
Death,1,25 - 34,10,0.6975904504,,10,Suicide,Firearm
Death,1,35 - 44,630,54.41094253,,1,Unintentional,Poisoning
Death,1,35 - 44,55,4.7501616494,,2,Homicide,Firearm
Death,1,35 - 44,42,3.6273961687,,3,Unintentional,Motor vehicle traffic
Death,1,35 - 44,36,3.0804078575,,4,Suicide,Suffocation
Death,1,35 - 44,33,2.8213081312,,5,Undetermined,Unknown mechanism
Death,1,35 - 44,23,1.9576423767,,6,Suicide,Fall
Death,1,35 - 44,21,1.8424869428,,7,Homicide,Cut or pierce
Death,1,35 - 44,18,1.5833872165,,8,Unintentional,Fall
Death,1,35 - 44,16,1.3530763486,,9,Suicide,Poisoning
Death,1,35 - 44,9,0.8060880375,,10,Unintentional,Other pedestrian
Death,1,45 - 54,632,61.651017502,,1,Unintentional,Poisoning
Death,1,45 - 54,34,3.2858853655,,2,Unintentional,Motor vehicle traffic
Death,1,45 - 54,34,3.2858853655,,3,Unintentional,Fall
Death,1,45 - 54,29,2.830416107,,4,Suicide,Suffocation
Death,1,45 - 54,24,2.3749468484,,5,Undetermined,Unknown mechanism
Death,1,45 - 54,19,1.8544105528,,6,Suicide,Fall
Death,1,45 - 54,18,1.7568099974,,7,Homicide,Firearm
Death,1,45 - 54,15,1.4314748127,,8,Homicide,Cut or pierce
Death,1,45 - 54,13,1.2688072204,,9,Suicide,Poisoning
Death,1,45 - 54,11,1.0736061095,,10,Suicide,Firearm
Death,1,55 - 64,847,82.128066798,,1,Unintentional,Poisoning
Death,1,55 - 64,65,6.3324551898,,2,Unintentional,Fall
Death,1,55 - 64,39,3.7477796021,,3,Suicide,Suffocation
Death,1,55 - 64,38,3.6508542676,,4,Unintentional,Motor vehicle traffic
Death,1,55 - 64,29,2.7785262568,,5,Undetermined,Unknown mechanism
Death,1,55 - 64,20,1.9385066908,,6,Unintentional,Suffocation
Death,1,55 - 64,18,1.7769644665,,7,Suicide,Fall
Death,1,55 - 64,14,1.3892631284,,8,Suicide,Poisoning
Death,1,55 - 64,14,1.3246462387,,9,Unintentional,Natural or environmental
Death,1,55 - 64,12,1.1954124593,,10,Homicide,Cut or pierce
Death,1,65+,471,33.701111922,,1,Unintentional,Fall
Death,1,65+,306,21.87113916,,2,Unintentional,Poisoning
Death,1,65+,102,7.3221807219,,3,Unintentional,Suffocation
Death,1,65+,68,4.8894040651,,4,Unintentional,Motor vehicle traffic
Death,1,65+,32,2.2896721476,,5,Undetermined,Unknown mechanism
Death,1,65+,32,2.2896721476,,6,Suicide,Suffocation
Death,1,65+,31,2.2419706445,,7,Unintentional,Fire or burn
Death,1,65+,29,2.0511646322,,8,Unintentional,Unknown mechanism
Death,1,65+,20,1.4310450922,,9,Suicide,Fall
Death,1,65+,16,1.1448360738,,10,Unintentional,Natural or environmental
Death,0,<1,112,116.59857145,,1,,Perinatal conditions
Death,0,<1,100,104.45288692,,2,,Congenital anomalies
Death,0,<1,56,57.952266166,,3,,Short gestation/low birth weight
Death,0,<1,25,25.679447283,,4,,Other natural causes
Death,0,<1,24,25.332427725,,5,,SIDS
Death,0,<1,16,16.656938778,,6,Injury,Injury: Undetermined intent
Death,0,<1,13,13.533762757,,7,,Other infective/parasitic diseases
Death,0,<1,12,12.492704084,,8,,Newborn respiratory distress
Death,0,<1,10,10.410586736,,9,,Other diseases of nervous system
Death,0,<1,10,10.410586736,,10,,Newborn bacterial sepsis
Death,0,1 - 4,13,3.4930154794,,1,,Congenital anomalies
Death,0,1 - 4,11,2.9556284825,,2,Injury,Injury: Unintentional
Death,0,1 - 4,10,2.5973704847,,3,,Other natural causes
Death,0,1 - 4,7,1.8808544889,,4,Injury,Injury: Homicide
Death,0,1 - 4,6,1.6121609905,,5,,Malignant neoplasms
Death,0,1 - 4,4,1.1643384931,*,6,,Other infective/parasitic diseases
Death,0,1 - 4,4,0.9852094942,*,7,,Other diseases of nervous system
Death,0,1 - 4,3,0.8060804952,*,8,,COVID-19
Death,0,1 - 4,3,0.7165159958,*,9,,Heart disease
Death,0,1 - 4,3,0.7165159958,*,10,Injury,Injury: Undetermined intent
Death,0,5 - 9,14,2.944824506,,1,,Malignant neoplasms
Death,0,5 - 9,13,2.7344798984,,2,Injury,Injury: Unintentional
Death,0,5 - 9,6,1.2620676454,,3,,Other natural causes
Death,0,5 - 9,5,1.121837907,*,4,,Congenital anomalies
Death,0,5 - 9,5,1.0517230379,*,5,,Other infective/parasitic diseases
Death,0,5 - 9,4,0.7712635611,*,6,Injury,Injury: Homicide
Death,0,5 - 9,3,0.7011486919,*,7,,Other diseases of nervous system
Death,0,5 - 9,3,0.7011486919,*,8,,Chronic lower respiratory diseases
Death,0,5 - 9,2,0.4908040843,*,9,,Heart disease
Death,0,5 - 9,2,0.350574346,*,10,Injury,Injury: Complications of care
Death,0,10 - 14,14,3.0789433926,,1,,Malignant neoplasms
Death,0,10 - 14,9,1.8616867025,,2,Injury,Injury: Unintentional
Death,0,10 - 14,8,1.7184800331,,3,,Other diseases of nervous system
Death,0,10 - 14,6,1.2888600248,,4,,Other natural causes
Death,0,10 - 14,6,1.2172566901,,5,Injury,Injury: Homicide
Death,0,10 - 14,5,1.1456533554,*,6,,Congenital anomalies
Death,0,10 - 14,5,1.0740500207,*,7,Injury,Injury: Suicide
Death,0,10 - 14,4,0.7876366818,*,8,,Heart disease
Death,0,10 - 14,3,0.5728266777,*,9,,Other infective/parasitic diseases
Death,0,10 - 14,3,0.5728266777,*,10,,Chronic lower respiratory diseases
Death,0,15 - 24,156,16.501178882,,1,Injury,Injury: Unintentional
Death,0,15 - 24,93,9.8372412568,,2,Injury,Injury: Homicide
Death,0,15 - 24,64,6.8049733425,,3,Injury,Injury: Suicide
Death,0,15 - 24,52,5.4651340315,,4,,Malignant neoplasms
Death,0,15 - 24,34,3.6316697113,,5,,Other natural causes
Death,0,15 - 24,20,2.1155357541,,6,,Other diseases of nervous system
Death,0,15 - 24,13,1.4103571694,,7,,Heart disease
Death,0,15 - 24,12,1.3045803817,,8,Injury,Injury: Undetermined intent
Death,0,15 - 24,10,1.0225089478,,9,,Congenital anomalies
Death,0,15 - 24,8,0.8814732309,,10,,COVID-19
Death,0,25 - 34,537,38.752352263,,1,Injury,Injury: Unintentional
Death,0,25 - 34,137,9.8624856783,,2,Injury,Injury: Homicide
Death,0,25 - 34,123,8.8762371105,,3,Injury,Injury: Suicide
Death,0,25 - 34,102,7.3848368372,,4,,Malignant neoplasms
Death,0,25 - 34,78,5.6528881327,,5,,Other natural causes
Death,0,25 - 34,74,5.3161203291,,6,,Heart disease
Death,0,25 - 34,42,3.0068553897,,7,Injury,Injury: Undetermined intent
Death,0,25 - 34,37,2.6941424292,,8,,COVID-19
Death,0,25 - 34,35,2.5498133705,,9,,Other diseases of nervous system
Death,0,25 - 34,29,2.1168261944,,10,,Mental/behavioral disorder due to alcohol
Death,0,35 - 44,727,62.817289207,,1,Injury,Injury: Unintentional
Death,0,35 - 44,280,24.153852266,,2,,Malignant neoplasms
Death,0,35 - 44,254,21.937110163,,3,,Heart disease
Death,0,35 - 44,174,15.027784127,,4,,Other natural causes
Death,0,35 - 44,104,9.0109127047,,5,Injury,Injury: Suicide
Death,0,35 - 44,96,8.2911912427,,6,,COVID-19
Death,0,35 - 44,87,7.5138920637,,7,Injury,Injury: Homicide
Death,0,35 - 44,80,6.9093260355,,8,,Mental/behavioral disorder due to alcohol
Death,0,35 - 44,78,6.7365928847,,9,,Chronic liver disease/cirrhosis
Death,0,35 - 44,51,4.4046953477,,10,,Diabetes
Death,0,45 - 54,780,76.16096674,,1,,Malignant neoplasms
Death,0,45 - 54,736,71.866542302,,2,Injury,Injury: Unintentional
Death,0,45 - 54,713,69.55666249,,3,,Heart disease
Death,0,45 - 54,259,25.278543852,,4,,Other natural causes
Death,0,45 - 54,230,22.480661263,,5,,COVID-19
Death,0,45 - 54,129,12.55793813,,6,,Chronic liver disease/cirrhosis
Death,0,45 - 54,112,10.963795725,,7,,Diabetes
Death,0,45 - 54,109,10.670994058,,8,,Mental/behavioral disorder due to alcohol
Death,0,45 - 54,104,10.150457763,,9,,Cerebrovascular disease
Death,0,45 - 54,86,8.3936477655,,10,Injury,Injury: Suicide
Death,0,55 - 64,2058,199.50464692,,1,,Malignant neoplasms
Death,0,55 - 64,1981,192.04139616,,2,,Heart disease
Death,0,55 - 64,1013,98.185363887,,3,Injury,Injury: Unintentional
Death,0,55 - 64,599,58.025966943,,4,,Other natural causes
Death,0,55 - 64,578,55.990534918,,5,,COVID-19
Death,0,55 - 64,267,25.911372766,,6,,Diabetes
Death,0,55 - 64,223,21.646658047,,7,,Cerebrovascular disease
Death,0,55 - 64,161,15.604978861,,8,,Influenza and pneumonia
Death,0,55 - 64,155,15.055735298,,9,,Chronic lower respiratory diseases
Death,0,55 - 64,154,14.958809964,,10,,Chronic liver disease/cirrhosis
Death,0,65+,13329,953.74385247,,1,,Heart disease
Death,0,65+,8121,581.09971045,,2,,Malignant neoplasms
Death,0,65+,4613,330.09440127,,3,,Other natural causes
Death,0,65+,3534,252.8656678,,4,,COVID-19
Death,0,65+,1777,127.14835644,,5,,Cerebrovascular disease
Death,0,65+,1289,92.254706946,,6,,Influenza and pneumonia
Death,0,65+,1240,88.74864647,,7,,Diabetes
Death,0,65+,1184,84.71786946,,8,,Chronic lower respiratory diseases
Death,0,65+,1079,77.181031974,,9,,Hypertension
Death,0,65+,1040,74.390494044,,10,Injury,Injury: Unintentional
