CD,CD Name,Wage,Scenario,Variable,modelledValue,changeFromBaseline
312,Borough Park,b30,scen1,poverty,44.24795,-6.3062
313,Coney Island,b30,scen1,poverty,29.09343,-7.1134
314,Flatbush and Midwood,b30,scen1,poverty,24.18559,-3.39396
315,Sheepshead Bay,b30,scen1,poverty,25.36987,-7.46082
316,Brownsville,b30,scen1,poverty,50.1522,-4.4401
317,East Flatbush,b30,scen1,poverty,27.77226,-7.85798
318,Flatlands and Canarsie,b30,scen1,poverty,19.50477,-2.99857
401,Long Island City and Astoria,b30,scen1,poverty,21.56642,-4.09327
402,Woodside and Sunnyside,b30,scen1,poverty,17.03667,-4.86243
403,Jackson Heights,b30,scen1,poverty,29.06056,-9.33736
404,Elmhurst and Corona,b30,scen1,poverty,27.24079,-6.64725
405,Ridgewood and Maspeth,b30,scen1,poverty,19.01124,-3.29452
406,Rego Park and Forest Hills,b30,scen1,poverty,17.90253,-1.36134
407,Flushing and Whitestone,b30,scen1,poverty,28.96117,-8.4014
408,Hillcrest and Fresh Meadows,b30,scen1,poverty,29.68969,-7.88324
409,Kew Gardens and Woodhaven,b30,scen1,poverty,16.58054,-7.38228
410,South Ozone Park and Howard Beach,b30,scen1,poverty,24.59292,-6.59615
411,Bayside and Little Neck,b30,scen1,poverty,15.91909,-2.05112
412,Jamaica and Hollis,b30,scen1,poverty,24.74259,-3.98436
413,Queens Village,b30,scen1,poverty,13.34645,-4.78193
414,Rockaway and Broad Channel,b30,scen1,poverty,33.19591,-7.33442
501,St. George and Stapleton,b30,scen1,poverty,34.00481,-4.1514
502,South Beach and Willowbrook,b30,scen1,poverty,15.48461,-2.84804
503,Tottenville and Great Kills,b30,scen1,poverty,13.87677,-3.335
101,Financial District,b30,scen1,prematuremort,101.2222,-2.1827
102,Greenwich Village and Soho,b30,scen1,prematuremort,101.2222,-2.1827
103,Lower East Side and Chinatown,b30,scen1,prematuremort,180.5768,-22.8512
104,Clinton and Chelsea,b30,scen1,prematuremort,83.24562,-3.48048
105,Midtown,b30,scen1,prematuremort,68.45831,-1.57826
106,Stuyvesant Town and Turtle Bay,b30,scen1,prematuremort,68.45831,-1.57826
107,Upper West Side,b30,scen1,prematuremort,140.4201,-2.2836
108,Upper East Side,b30,scen1,prematuremort,96.89644,-1.16212
109,Morningside Heights and Hamilton Heights,b30,scen1,prematuremort,225.2737,-18.974
110,Central Harlem,b30,scen1,prematuremort,302.5207,-18.1065
111,East Harlem,b30,scen1,prematuremort,326.5221,-24.8307
112,Washington Heights and Inwood,b30,scen1,prematuremort,190.6364,-18.272
201,Mott Haven and Melrose,b30,scen1,prematuremort,315.1889,-34.3159
202,Hunts Point and Longwood,b30,scen1,prematuremort,315.1889,-34.3159
203,Morrisania and Crotona,b30,scen1,prematuremort,369.6891,-17.3876
204,Highbridge and Concourse,b30,scen1,prematuremort,317.2706,-23.5847
205,Fordham and University Heights,b30,scen1,prematuremort,370.6116,-40.4315
206,Belmont and East Tremont,b30,scen1,prematuremort,369.6891,-17.3876
207,Kingsbridge Heights and Bedford,b30,scen1,prematuremort,258.3713,-39.5346
208,Riverdale and Fieldston,b30,scen1,prematuremort,202.5714,-21.3999
209,Parkchester and Soundview,b30,scen1,prematuremort,304.4926,-35.0464
210,Throgs Neck and Co-op City,b30,scen1,prematuremort,223.4722,-16.3925
211,Morris Park and Bronxdale,b30,scen1,prematuremort,228.8512,-15.9009
212,Williamsbridge and Baychester,b30,scen1,prematuremort,284.5264,-26.5533
301,Greenpoint and Williamsburg,b30,scen1,prematuremort,137.6576,-10.274
302,Fort Greene and Brooklyn Heights,b30,scen1,prematuremort,127.0941,-6.6471
303,Bedford Stuyvesant,b30,scen1,prematuremort,263.7388,-13.6661
304,Bushwick,b30,scen1,prematuremort,157.2393,-20.3386
305,East New York and Starrett City,b30,scen1,prematuremort,308.6127,-33.6682
306,Park Slope and Carroll Gardens,b30,scen1,prematuremort,115.7371,-5.0061
307,Sunset Park,b30,scen1,prematuremort,136.2589,-21.7588
308,Crown Heights and Prospect Heights,b30,scen1,prematuremort,237.3149,-11.2157
309,South Crown Heights and Lefferts Gardens,b30,scen1,prematuremort,239.774,-11.8903
310,Bay Ridge and Dyker Heights,b30,scen1,prematuremort,134.3013,-13.8521
311,Bensonhurst,b30,scen1,prematuremort,151.7071,-32.6995
312,Borough Park,b30,scen1,prematuremort,227.9435,-22.2017
313,Coney Island,b30,scen1,prematuremort,180.9629,-25.0436
314,Flatbush and Midwood,b30,scen1,prematuremort,159.6251,-11.9489
315,Sheepshead Bay,b30,scen1,prematuremort,124.6985,-26.2667
316,Brownsville,b30,scen1,prematuremort,407.1858,-15.6319
317,East Flatbush,b30,scen1,prematuremort,268.8745,-27.665
318,Flatlands and Canarsie,b30,scen1,prematuremort,234.0466,-10.5568
401,Long Island City and Astoria,b30,scen1,prematuremort,117.1874,-14.4109
402,Woodside and Sunnyside,b30,scen1,prematuremort,56.63079,-17.11876
403,Jackson Heights,b30,scen1,prematuremort,138.2829,-32.8733
404,Elmhurst and Corona,b30,scen1,prematuremort,124.6626,-23.4024
405,Ridgewood and Maspeth,b30,scen1,prematuremort,146.984,-11.5987
406,Rego Park and Forest Hills,b30,scen1,prematuremort,101.522,-4.7928
407,Flushing and Whitestone,b30,scen1,prematuremort,133.2179,-29.5781
408,Hillcrest and Fresh Meadows,b30,scen1,prematuremort,153.5632,-27.7539
409,Kew Gardens and Woodhaven,b30,scen1,prematuremort,104.0234,-25.9902
410,South Ozone Park and Howard Beach,b30,scen1,prematuremort,161.3354,-23.2226
411,Bayside and Little Neck,b30,scen1,prematuremort,83.2348,-7.22122
412,Jamaica and Hollis,b30,scen1,prematuremort,219.8064,-14.0274
413,Queens Village,b30,scen1,prematuremort,194.6554,-16.8354
414,Rockaway and Broad Channel,b30,scen1,prematuremort,294.4284,-25.8216
501,St. George and Stapleton,b30,scen1,prematuremort,271.0132,-14.6155
502,South Beach and Willowbrook,b30,scen1,prematuremort,146.1208,-10.0268
503,Tottenville and Great Kills,b30,scen1,prematuremort,151.7192,-11.7412
101,Financial District,b30,scen2,poverty,14.65692,-0.61998
102,Greenwich Village and Soho,b30,scen2,poverty,14.65692,-0.61998
103,Lower East Side and Chinatown,b30,scen2,poverty,34.74882,-6.55747
104,Clinton and Chelsea,b30,scen2,poverty,17.11181,-0.9886
105,Midtown,b30,scen2,poverty,14.39544,-0.44829
106,Stuyvesant Town and Turtle Bay,b30,scen2,poverty,14.39544,-0.44829
107,Upper West Side,b30,scen2,poverty,17.65785,-0.64864
108,Upper East Side,b30,scen2,poverty,7.34001,-0.33009
109,Morningside Heights and Hamilton Heights,b30,scen2,poverty,42.3675,-5.38942
110,Central Harlem,b30,scen2,poverty,35.24788,-5.14299
111,East Harlem,b30,scen2,poverty,48.98463,-7.2803
112,Washington Heights and Inwood,b30,scen2,poverty,26.07756,-5.18998
201,Mott Haven and Melrose,b30,scen2,poverty,50.64255,-9.98301
202,Hunts Point and Longwood,b30,scen2,poverty,50.64255,-9.98301
203,Morrisania and Crotona,b30,scen2,poverty,56.43771,-6.26489
204,Highbridge and Concourse,b30,scen2,poverty,45.76564,-7.54547
205,Fordham and University Heights,b30,scen2,poverty,48.37933,-11.92135
206,Belmont and East Tremont,b30,scen2,poverty,56.43771,-6.26489
207,Kingsbridge Heights and Bedford,b30,scen2,poverty,41.22657,-11.79282
208,Riverdale and Fieldston,b30,scen2,poverty,23.95686,-7.27852
209,Parkchester and Soundview,b30,scen2,poverty,44.26217,-11.63642
210,Throgs Neck and Co-op City,b30,scen2,poverty,23.23281,-5.33822
211,Morris Park and Bronxdale,b30,scen2,poverty,29.43081,-5.43799
212,Williamsbridge and Baychester,b30,scen2,poverty,27.84145,-7.98411
301,Greenpoint and Williamsburg,b30,scen2,poverty,25.10947,-3.14638
302,Fort Greene and Brooklyn Heights,b30,scen2,poverty,17.8221,-1.99302
303,Bedford Stuyvesant,b30,scen2,poverty,31.81935,-4.54388
304,Bushwick,b30,scen2,poverty,22.28246,-6.28812
305,East New York and Starrett City,b30,scen2,poverty,29.97593,-11.14363
306,Park Slope and Carroll Gardens,b30,scen2,poverty,13.80512,-1.42193
307,Sunset Park,b30,scen2,poverty,23.9989,-7.41991
308,Crown Heights and Prospect Heights,b30,scen2,poverty,24.39349,-3.68467
309,South Crown Heights and Lefferts Gardens,b30,scen2,poverty,24.57285,-5.07597
310,Bay Ridge and Dyker Heights,b30,scen2,poverty,21.95139,-4.52162
311,Bensonhurst,b30,scen2,poverty,28.38995,-9.9428
312,Borough Park,b30,scen2,poverty,43.97044,-6.58371
313,Coney Island,b30,scen2,poverty,29.04306,-7.16377
314,Flatbush and Midwood,b30,scen2,poverty,21.76956,-5.80999
315,Sheepshead Bay,b30,scen2,poverty,24.9937,-7.83699
316,Brownsville,b30,scen2,poverty,50.03715,-4.55515
317,East Flatbush,b30,scen2,poverty,27.77226,-7.85798
318,Flatlands and Canarsie,b30,scen2,poverty,18.25155,-4.25179
401,Long Island City and Astoria,b30,scen2,poverty,20.87375,-4.78594
402,Woodside and Sunnyside,b30,scen2,poverty,15.42764,-6.47146
403,Jackson Heights,b30,scen2,poverty,27.8849,-10.51302
404,Elmhurst and Corona,b30,scen2,poverty,27.24079,-6.64725
405,Ridgewood and Maspeth,b30,scen2,poverty,18.33684,-3.96892
406,Rego Park and Forest Hills,b30,scen2,poverty,17.58052,-1.68335
407,Flushing and Whitestone,b30,scen2,poverty,27.81733,-9.54524
408,Hillcrest and Fresh Meadows,b30,scen2,poverty,28.18909,-9.38384
409,Kew Gardens and Woodhaven,b30,scen2,poverty,15.73356,-8.22926
410,South Ozone Park and Howard Beach,b30,scen2,poverty,23.46778,-7.72129
411,Bayside and Little Neck,b30,scen2,poverty,15.63789,-2.33232
412,Jamaica and Hollis,b30,scen2,poverty,24.06854,-4.65841
413,Queens Village,b30,scen2,poverty,12.35352,-5.77486
414,Rockaway and Broad Channel,b30,scen2,poverty,30.34676,-10.18357
501,St. George and Stapleton,b30,scen2,poverty,33.92899,-4.22722
502,South Beach and Willowbrook,b30,scen2,poverty,15.48461,-2.84804
503,Tottenville and Great Kills,b30,scen2,poverty,13.14078,-4.07099
101,Financial District,b30,scen2,prematuremort,101.2222,-2.1827
102,Greenwich Village and Soho,b30,scen2,prematuremort,101.2222,-2.1827
103,Lower East Side and Chinatown,b30,scen2,prematuremort,180.3417,-23.0863
104,Clinton and Chelsea,b30,scen2,prematuremort,83.24562,-3.48048
105,Midtown,b30,scen2,prematuremort,68.45831,-1.57826
106,Stuyvesant Town and Turtle Bay,b30,scen2,prematuremort,68.45831,-1.57826
107,Upper West Side,b30,scen2,prematuremort,140.4201,-2.2836
108,Upper East Side,b30,scen2,prematuremort,96.89644,-1.16212
109,Morningside Heights and Hamilton Heights,b30,scen2,prematuremort,225.2737,-18.974
110,Central Harlem,b30,scen2,prematuremort,302.5207,-18.1065
111,East Harlem,b30,scen2,prematuremort,325.7217,-25.6311
112,Washington Heights and Inwood,b30,scen2,prematuremort,190.6364,-18.272
201,Mott Haven and Melrose,b30,scen2,prematuremort,314.3584,-35.1464
202,Hunts Point and Longwood,b30,scen2,prematuremort,314.3584,-35.1464
203,Morrisania and Crotona,b30,scen2,prematuremort,365.0204,-22.0563
204,Highbridge and Concourse,b30,scen2,prematuremort,314.2906,-26.5647
205,Fordham and University Heights,b30,scen2,prematuremort,369.0726,-41.9705
206,Belmont and East Tremont,b30,scen2,prematuremort,365.0204,-22.0563
207,Kingsbridge Heights and Bedford,b30,scen2,prematuremort,256.3878,-41.5181
208,Riverdale and Fieldston,b30,scen2,prematuremort,198.3464,-25.6249
209,Parkchester and Soundview,b30,scen2,prematuremort,298.5716,-40.9674
210,Throgs Neck and Co-op City,b30,scen2,prematuremort,221.0709,-18.7938
211,Morris Park and Bronxdale,b30,scen2,prematuremort,225.607,-19.1451
212,Williamsbridge and Baychester,b30,scen2,prematuremort,282.9707,-28.109
301,Greenpoint and Williamsburg,b30,scen2,prematuremort,136.8544,-11.0772
302,Fort Greene and Brooklyn Heights,b30,scen2,prematuremort,126.7246,-7.0166
303,Bedford Stuyvesant,b30,scen2,prematuremort,261.4076,-15.9973
304,Bushwick,b30,scen2,prematuremort,155.4399,-22.138
305,East New York and Starrett City,b30,scen2,prematuremort,303.0484,-39.2325
306,Park Slope and Carroll Gardens,b30,scen2,prematuremort,115.7371,-5.0061
307,Sunset Park,b30,scen2,prematuremort,131.895,-26.1227
308,Crown Heights and Prospect Heights,b30,scen2,prematuremort,235.5583,-12.9723
309,South Crown Heights and Lefferts Gardens,b30,scen2,prematuremort,233.7938,-17.8705
310,Bay Ridge and Dyker Heights,b30,scen2,prematuremort,132.2345,-15.9189
311,Bensonhurst,b30,scen2,prematuremort,149.4018,-35.0048
312,Borough Park,b30,scen2,prematuremort,226.9665,-23.1787
313,Coney Island,b30,scen2,prematuremort,180.7856,-25.2209
314,Flatbush and Midwood,b30,scen2,prematuremort,151.1192,-20.4548
315,Sheepshead Bay,b30,scen2,prematuremort,123.3742,-27.591
316,Brownsville,b30,scen2,prematuremort,406.7808,-16.0369
317,East Flatbush,b30,scen2,prematuremort,268.8745,-27.665
318,Flatlands and Canarsie,b30,scen2,prematuremort,229.6345,-14.9689
401,Long Island City and Astoria,b30,scen2,prematuremort,114.7488,-16.8495
402,Woodside and Sunnyside,b30,scen2,prematuremort,50.96601,-22.78354
403,Jackson Heights,b30,scen2,prematuremort,134.1439,-37.0123
404,Elmhurst and Corona,b30,scen2,prematuremort,124.6626,-23.4024
405,Ridgewood and Maspeth,b30,scen2,prematuremort,144.6097,-13.973
406,Rego Park and Forest Hills,b30,scen2,prematuremort,100.3884,-5.9264
407,Flushing and Whitestone,b30,scen2,prematuremort,129.1909,-33.6051
408,Hillcrest and Fresh Meadows,b30,scen2,prematuremort,148.2802,-33.0369
409,Kew Gardens and Woodhaven,b30,scen2,prematuremort,101.0416,-28.972
410,South Ozone Park and Howard Beach,b30,scen2,prematuremort,157.3743,-27.1837
411,Bayside and Little Neck,b30,scen2,prematuremort,82.2448,-8.21122
412,Jamaica and Hollis,b30,scen2,prematuremort,217.4333,-16.4005
413,Queens Village,b30,scen2,prematuremort,191.1597,-20.3311
414,Rockaway and Broad Channel,b30,scen2,prematuremort,284.3976,-35.8524
501,St. George and Stapleton,b30,scen2,prematuremort,270.7463,-14.8824
502,South Beach and Willowbrook,b30,scen2,prematuremort,146.1208,-10.0268
503,Tottenville and Great Kills,b30,scen2,prematuremort,149.128,-14.3324
101,Financial District,b30,scen3,poverty,15.86703,0.59013
102,Greenwich Village and Soho,b30,scen3,poverty,15.86703,0.59013
103,Lower East Side and Chinatown,b30,scen3,poverty,38.44466,-2.86163
104,Clinton and Chelsea,b30,scen3,poverty,18.44921,0.3488
105,Midtown,b30,scen3,poverty,16.25315,1.40942
106,Stuyvesant Town and Turtle Bay,b30,scen3,poverty,16.25315,1.40942
107,Upper West Side,b30,scen3,poverty,18.41738,0.11089
108,Upper East Side,b30,scen3,poverty,9.03799,1.36789
109,Morningside Heights and Hamilton Heights,b30,scen3,poverty,46.4065,-1.35042
110,Central Harlem,b30,scen3,poverty,36.32028,-4.07059
111,East Harlem,b30,scen3,poverty,52.1986,-4.06633
112,Washington Heights and Inwood,b30,scen3,poverty,28.28016,-2.98738
201,Mott Haven and Melrose,b30,scen3,poverty,53.41483,-7.21073
202,Hunts Point and Longwood,b30,scen3,poverty,53.41483,-7.21073
203,Morrisania and Crotona,b30,scen3,poverty,60.7644,-1.9382
204,Highbridge and Concourse,b30,scen3,poverty,48.9489,-4.36221
205,Fordham and University Heights,b30,scen3,poverty,54.15434,-6.14634
206,Belmont and East Tremont,b30,scen3,poverty,60.7644,-1.9382
207,Kingsbridge Heights and Bedford,b30,scen3,poverty,45.91827,-7.10112
208,Riverdale and Fieldston,b30,scen3,poverty,29.9745,-1.26088
209,Parkchester and Soundview,b30,scen3,poverty,51.19469,-4.7039
210,Throgs Neck and Co-op City,b30,scen3,poverty,24.53589,-4.03514
211,Morris Park and Bronxdale,b30,scen3,poverty,33.1258,-1.743
212,Williamsbridge and Baychester,b30,scen3,poverty,31.16449,-4.66107
301,Greenpoint and Williamsburg,b30,scen3,poverty,25.64507,-2.61078
302,Fort Greene and Brooklyn Heights,b30,scen3,poverty,20.02409,0.20897
303,Bedford Stuyvesant,b30,scen3,poverty,35.33216,-1.03107
304,Bushwick,b30,scen3,poverty,23.64183,-4.92875
305,East New York and Starrett City,b30,scen3,poverty,34.68729,-6.43227
306,Park Slope and Carroll Gardens,b30,scen3,poverty,15.51163,0.28458
307,Sunset Park,b30,scen3,poverty,29.17389,-2.24492
308,Crown Heights and Prospect Heights,b30,scen3,poverty,27.20689,-0.87127
309,South Crown Heights and Lefferts Gardens,b30,scen3,poverty,29.62142,-0.0274
310,Bay Ridge and Dyker Heights,b30,scen3,poverty,24.94748,-1.52553
311,Bensonhurst,b30,scen3,poverty,32.51741,-5.81534
312,Borough Park,b30,scen3,poverty,47.22812,-3.32603
313,Coney Island,b30,scen3,poverty,33.09463,-3.1122
314,Flatbush and Midwood,b30,scen3,poverty,26.79548,-0.78407
315,Sheepshead Bay,b30,scen3,poverty,28.02499,-4.8057
316,Brownsville,b30,scen3,poverty,51.6598,-2.9325
317,East Flatbush,b30,scen3,poverty,32.0045,-3.62574
318,Flatlands and Canarsie,b30,scen3,poverty,22.56394,0.0606
401,Long Island City and Astoria,b30,scen3,poverty,24.83159,-0.8281
402,Woodside and Sunnyside,b30,scen3,poverty,21.87464,-0.02446
403,Jackson Heights,b30,scen3,poverty,34.08106,-4.31686
404,Elmhurst and Corona,b30,scen3,poverty,33.60825,-0.27979
405,Ridgewood and Maspeth,b30,scen3,poverty,22.40278,0.09702
406,Rego Park and Forest Hills,b30,scen3,poverty,19.06906,-0.19481
407,Flushing and Whitestone,b30,scen3,poverty,31.7322,-5.63037
408,Hillcrest and Fresh Meadows,b30,scen3,poverty,31.22338,-6.34955
409,Kew Gardens and Woodhaven,b30,scen3,poverty,24.83312,0.8703
410,South Ozone Park and Howard Beach,b30,scen3,poverty,27.5174,-3.67167
411,Bayside and Little Neck,b30,scen3,poverty,19.20609,1.23588
412,Jamaica and Hollis,b30,scen3,poverty,29.1108,0.38385
413,Queens Village,b30,scen3,poverty,17.43865,-0.68973
414,Rockaway and Broad Channel,b30,scen3,poverty,34.30104,-6.22929
501,St. George and Stapleton,b30,scen3,poverty,35.84137,-2.31484
502,South Beach and Willowbrook,b30,scen3,poverty,16.28296,-2.04969
503,Tottenville and Great Kills,b30,scen3,poverty,17.11011,-0.10166
101,Financial District,b30,scen3,prematuremort,105.4825,2.0776
102,Greenwich Village and Soho,b30,scen3,prematuremort,105.4825,2.0776
103,Lower East Side and Chinatown,b30,scen3,prematuremort,193.3533,-10.0747
104,Clinton and Chelsea,b30,scen3,prematuremort,87.9541,1.228
105,Midtown,b30,scen3,prematuremort,74.9986,4.96203
106,Stuyvesant Town and Turtle Bay,b30,scen3,prematuremort,74.9986,4.96203
107,Upper West Side,b30,scen3,prematuremort,143.0941,0.3904
108,Upper East Side,b30,scen3,prematuremort,102.8744,4.81584
109,Morningside Heights and Hamilton Heights,b30,scen3,prematuremort,239.4934,-4.7543
110,Central Harlem,b30,scen3,prematuremort,306.2962,-14.331
111,East Harlem,b30,scen3,prematuremort,337.0368,-14.316
112,Washington Heights and Inwood,b30,scen3,prematuremort,198.391,-10.5174
201,Mott Haven and Melrose,b30,scen3,prematuremort,324.1185,-25.3863
202,Hunts Point and Longwood,b30,scen3,prematuremort,324.1185,-25.3863
203,Morrisania and Crotona,b30,scen3,prematuremort,380.2531,-6.8236
204,Highbridge and Concourse,b30,scen3,prematuremort,325.4976,-15.3577
205,Fordham and University Heights,b30,scen3,prematuremort,389.4042,-21.6389
206,Belmont and East Tremont,b30,scen3,prematuremort,380.2531,-6.8236
207,Kingsbridge Heights and Bedford,b30,scen3,prematuremort,272.9055,-25.0004
208,Riverdale and Fieldston,b30,scen3,prematuremort,219.5322,-4.4391
209,Parkchester and Soundview,b30,scen3,prematuremort,322.9783,-16.5607
210,Throgs Neck and Co-op City,b30,scen3,prematuremort,225.6585,-14.2062
211,Morris Park and Bronxdale,b30,scen3,prematuremort,238.6156,-6.1365
212,Williamsbridge and Baychester,b30,scen3,prematuremort,294.6698,-16.4099
301,Greenpoint and Williamsburg,b30,scen3,prematuremort,138.74,-9.1916
302,Fort Greene and Brooklyn Heights,b30,scen3,prematuremort,134.4769,0.7357
303,Bedford Stuyvesant,b30,scen3,prematuremort,273.7749,-3.63
304,Bushwick,b30,scen3,prematuremort,160.2257,-17.3522
305,East New York and Starrett City,b30,scen3,prematuremort,319.6353,-22.6456
306,Park Slope and Carroll Gardens,b30,scen3,prematuremort,121.7451,1.0019
307,Sunset Park,b30,scen3,prematuremort,150.1142,-7.9035
308,Crown Heights and Prospect Heights,b30,scen3,prematuremort,245.4632,-3.0674
309,South Crown Heights and Lefferts Gardens,b30,scen3,prematuremort,251.5679,-0.0964
310,Bay Ridge and Dyker Heights,b30,scen3,prematuremort,142.7826,-5.3708
311,Bensonhurst,b30,scen3,prematuremort,163.933,-20.4736
312,Borough Park,b30,scen3,prematuremort,238.4355,-11.7097
313,Coney Island,b30,scen3,prematuremort,195.0496,-10.9569
314,Flatbush and Midwood,b30,scen3,prematuremort,168.8136,-2.7604
315,Sheepshead Bay,b30,scen3,prematuremort,134.0462,-16.919
316,Brownsville,b30,scen3,prematuremort,412.4935,-10.3242
317,East Flatbush,b30,scen3,prematuremort,283.7746,-12.7649
318,Flatlands and Canarsie,b30,scen3,prematuremort,244.8167,0.2133
401,Long Island City and Astoria,b30,scen3,prematuremort,128.6828,-2.9155
402,Woodside and Sunnyside,b30,scen3,prematuremort,73.66344,-0.08611
403,Jackson Heights,b30,scen3,prematuremort,155.9582,-15.198
404,Elmhurst and Corona,b30,scen3,prematuremort,147.08,-0.985
405,Ridgewood and Maspeth,b30,scen3,prematuremort,158.9243,0.3416
406,Rego Park and Forest Hills,b30,scen3,prematuremort,105.6289,-0.6859
407,Flushing and Whitestone,b30,scen3,prematuremort,142.9736,-19.8224
408,Hillcrest and Fresh Meadows,b30,scen3,prematuremort,158.9628,-22.3543
409,Kew Gardens and Woodhaven,b30,scen3,prematuremort,133.0776,3.064
410,South Ozone Park and Howard Beach,b30,scen3,prematuremort,171.6314,-12.9266
411,Bayside and Little Neck,b30,scen3,prematuremort,94.80707,4.35105
412,Jamaica and Hollis,b30,scen3,prematuremort,235.1852,1.3514
413,Queens Village,b30,scen3,prematuremort,209.0625,-2.4283
414,Rockaway and Broad Channel,b30,scen3,prematuremort,298.3191,-21.9309
501,St. George and Stapleton,b30,scen3,prematuremort,277.479,-8.1497
502,South Beach and Willowbrook,b30,scen3,prematuremort,148.9315,-7.2161
503,Tottenville and Great Kills,b30,scen3,prematuremort,163.1025,-0.3579
