NTACODE,BORO,BoroCode,NTA_NAME,TotalPM,PM_tertiles,TotalNOx,NOx_tertiles,cook_tertiles,Building_emissions,Industrial_tertiles,Traffic_tertiles
MN0301,Manhattan,1,Chinatown-Two Bridges,2.565856524,Medium,44.14703231,Medium,High,Medium,Medium,High
MN0302,Manhattan,1,Lower East Side,3.460494871,Medium,59.22384649,Medium,High,High,Medium,High
MN0303,Manhattan,1,East Village,2.725250647,Medium,48.49360539,Medium,High,High,Medium,High
MN0401,Manhattan,1,Chelsea-Hudson Yards,7.985377055,High,140.6594702,High,High,High,High,High
MN0402,Manhattan,1,Hell's Kitchen,4.696974398,High,83.96133554,High,High,High,High,High
MN0501,Manhattan,1,Midtown South-Flatiron-Union Square,4.782075933,High,85.99151641,High,High,High,Medium,High
MN0502,Manhattan,1,Midtown-Times Square,8.268957587,High,151.933153,High,High,High,Medium,High
MN0601,Manhattan,1,Stuyvesant Town-Peter Cooper Village,0.961368235,Low,16.5065358,Low,Low,Low,Medium,High
MN0602,Manhattan,1,Gramercy,1.555134979,Low,28.48369649,Low,High,High,Low,Medium
MN0603,Manhattan,1,Murray Hill-Kips Bay,4.654275634,High,78.87147142,High,High,High,Low,High
MN0604,Manhattan,1,East Midtown-Turtle Bay,3.67467634,High,64.15928305,Medium,High,High,Low,High
MN0661,Manhattan,1,United Nations,0.552986474,Low,8.898268291,Low,Low,Low,Low,High
MN0701,Manhattan,1,Upper West Side-Lincoln Square,4.395742214,High,76.45507245,High,High,High,Low,High
MN0702,Manhattan,1,Upper West Side (Central),7.162953807,High,122.9569658,High,High,High,Low,High
MN0703,Manhattan,1,Upper West Side-Manhattan Valley,3.011413893,Medium,52.08128921,Medium,Medium,High,Medium,High
MN0801,Manhattan,1,Upper East Side-Lenox Hill-Roosevelt Island,4.604891657,High,78.86257748,High,High,High,Medium,High
MN0802,Manhattan,1,Upper East Side-Carnegie Hill,4.993784505,High,91.87775778,High,High,High,Low,Medium
MN0803,Manhattan,1,Upper East Side-Yorkville,3.005646815,Medium,51.13450655,Medium,High,High,Medium,High
MN0901,Manhattan,1,Morningside Heights,3.677076144,High,62.96663523,Medium,Medium,High,Low,High
MN0902,Manhattan,1,Manhattanville-West Harlem,2.091556087,Medium,36.43807035,Medium,Medium,Medium,Medium,High
MN0903,Manhattan,1,Hamilton Heights-Sugar Hill,3.384787403,Medium,58.15146857,Medium,High,High,Low,High
MN1001,Manhattan,1,Harlem (South),1.787262686,Medium,32.76788553,Low,High,High,Low,Medium
MN1002,Manhattan,1,Harlem (North),3.094540744,Medium,53.79278511,Medium,High,High,Medium,High
MN1101,Manhattan,1,East Harlem (South),3.508708807,Medium,60.87585969,Medium,High,High,Medium,High
MN1102,Manhattan,1,East Harlem (North),5.799085354,High,98.46783989,High,High,High,Medium,High
MN1191,Manhattan,1,Randall's Island,5.766118843,High,98.70726982,High,Low,Low,High,High
MN1201,Manhattan,1,Washington Heights (South),8.338967828,High,143.3233366,High,High,High,Low,High
MN1202,Manhattan,1,Washington Heights (North),10.04216144,High,171.3113221,High,High,High,Medium,High
MN1203,Manhattan,1,Inwood,1.492317869,Low,26.00961328,Low,High,High,Medium,Medium
MN1291,Manhattan,1,Highbridge Park,3.239284595,Medium,54.49493917,Medium,Low,Low,Low,High
MN1292,Manhattan,1,Inwood Hill Park,0.777180383,Low,12.57872089,Low,Low,Low,Low,Medium
MN6491,Manhattan,1,Central Park,2.220109829,Medium,42.33291167,Medium,Low,Low,Low,Low
QN0101,Queens,4,Astoria (North)-Ditmars-Steinway,5.862499081,High,117.0755545,High,High,Medium,High,Medium
QN0102,Queens,4,Old Astoria-Hallets Point,0.36209373,Low,7.082228058,Low,Low,Low,High,Low
QN0103,Queens,4,Astoria (Central),1.021609328,Low,20.39421393,Low,High,High,Medium,Low
QN0104,Queens,4,Astoria (East)-Woodside (North),3.265940516,Medium,65.24722904,Medium,High,Medium,High,Medium
QN0105,Queens,4,Queensbridge-Ravenswood-Dutch Kills,2.317742003,Medium,46.05019525,Medium,High,High,High,Medium
QN0151,Bronx,2,Rikers Island,0.00318915,Low,0.061705046,Low,Low,High,Low,Low
QN0161,Queens,4,Sunnyside Yards (North),0.4618471,Low,9.23298989,Low,Low,Low,High,Medium
QN0171,Queens,4,St. Michael's Cemetery,0.31837304,Low,6.380060121,Low,Low,Low,High,Low
QN0191,Queens,4,Astoria Park,0.888790981,Low,17.48192775,Low,Low,Low,Low,High
QN0201,Queens,4,Long Island City-Hunters Point,3.738716476,High,74.74689125,High,High,High,High,High
QN0202,Queens,4,Sunnyside,8.11538187,High,162.6585685,High,High,High,High,High
QN0203,Queens,4,Woodside,6.72507743,High,134.3151761,High,High,High,High,High
QN0261,Queens,4,Sunnyside Yards (South),0.444616174,Low,8.848459082,Low,Low,Low,High,Low
QN0271,Queens,4,Calvary & Mount Zion Cemeteries,2.45043522,Medium,49.3771553,Medium,Low,Low,High,High
