GEOCODE,VARIABLE,VALUE,NAME,BORO
3702,Cockroaches,34,Williamsbridge/Baychester,Bronx
3703,Cockroaches,15,Throgs Neck/Co-op City,Bronx
3704,Cockroaches,31,Pelham Parkway,Bronx
3705,Cockroaches,39,Morrisania/East Tremont,Bronx
3706,Cockroaches,49,Kings.Heights/Mosholu,Bronx
3707,Cockroaches,53,Univ.Heights/Fordham,Bronx
3708,Cockroaches,44,Highbridge/S.Concourse,Bronx
3709,Cockroaches,47,Soundview/Parkchester,Bronx
3710,Cockroaches,46,Mott Haven/Hunts Point,Bronx
3801,Cockroaches,35,Washington Heights/Inwood,Manhattan
3802,Cockroaches,34,Morning.Heights/Hamilton Heights,Manhattan
3803,Cockroaches,27,Central Harlem,Manhattan
3804,Cockroaches,30,East Harlem,Manhattan
3805,Cockroaches,10,Upper East Side,Manhattan
3806,Cockroaches,16,Upper West Side,Manhattan
3807,Cockroaches,12,Chealsea/Clinton/Midtown,Manhattan
3808,Cockroaches,10,Stuy.Town/Turtle Bay,Manhattan
3809,Cockroaches,36,L.East Side/Chinatown,Manhattan
3810,Cockroaches,10,Green.Village/Fin.District,Manhattan
3901,Cockroaches,0,South Shore,Staten Island
3902,Cockroaches,3,Mid Island,Staten Island
3903,Cockroaches,11,North Shore,Staten Island
4001,Cockroaches,20,Williamsburg/Greenpoint,Brooklyn
4002,Cockroaches,34,Bushwick,Brooklyn
4003,Cockroaches,31,Bedford Stuyvesant,Brooklyn
4004,Cockroaches,18,Brooklyn Heights/Fort Greene,Brooklyn
4005,Cockroaches,21,Park Slope/Carroll Gardens,Brooklyn
