CD,CD Name,Wage,Scenario,Variable,Value
408,Hillcrest and Fresh Meadows,b30,scen1,prematuremort,153.5632
409,Kew Gardens and Woodhaven,b30,scen1,prematuremort,104.0234
410,South Ozone Park and Howard Beach,b30,scen1,prematuremort,161.3354
411,Bayside and Little Neck,b30,scen1,prematuremort,83.2348
412,Jamaica and Hollis,b30,scen1,prematuremort,219.8064
413,Queens Village,b30,scen1,prematuremort,194.6554
414,Rockaway and Broad Channel,b30,scen1,prematuremort,294.4284
501,St. George and Stapleton,b30,scen1,prematuremort,271.0132
502,South Beach and Willowbrook,b30,scen1,prematuremort,146.1208
503,Tottenville and Great Kills,b30,scen1,prematuremort,151.7192
101,Financial District,b30,scen2,poverty,14.65692
102,Greenwich Village and Soho,b30,scen2,poverty,14.65692
103,Lower East Side and Chinatown,b30,scen2,poverty,34.74882
104,Clinton and Chelsea,b30,scen2,poverty,17.11181
105,Midtown,b30,scen2,poverty,14.39544
106,Stuyvesant Town and Turtle Bay,b30,scen2,poverty,14.39544
107,Upper West Side,b30,scen2,poverty,17.65785
108,Upper East Side,b30,scen2,poverty,7.34001
109,Morningside Heights and Hamilton Heights,b30,scen2,poverty,42.3675
110,Central Harlem,b30,scen2,poverty,35.24788
111,East Harlem,b30,scen2,poverty,48.98463
112,Washington Heights and Inwood,b30,scen2,poverty,26.07756
201,Mott Haven and Melrose,b30,scen2,poverty,50.64255
202,Hunts Point and Longwood,b30,scen2,poverty,50.64255
203,Morrisania and Crotona,b30,scen2,poverty,56.43771
204,Highbridge and Concourse,b30,scen2,poverty,45.76564
205,Fordham and University Heights,b30,scen2,poverty,48.37933
206,Belmont and East Tremont,b30,scen2,poverty,56.43771
207,Kingsbridge Heights and Bedford,b30,scen2,poverty,41.22657
208,Riverdale and Fieldston,b30,scen2,poverty,23.95686
209,Parkchester and Soundview,b30,scen2,poverty,44.26217
210,Throgs Neck and Co-op City,b30,scen2,poverty,23.23281
211,Morris Park and Bronxdale,b30,scen2,poverty,29.43081
212,Williamsbridge and Baychester,b30,scen2,poverty,27.84145
301,Greenpoint and Williamsburg,b30,scen2,poverty,25.10947
302,Fort Greene and Brooklyn Heights,b30,scen2,poverty,17.8221
303,Bedford Stuyvesant,b30,scen2,poverty,31.81935
304,Bushwick,b30,scen2,poverty,22.28246
305,East New York and Starrett City,b30,scen2,poverty,29.97593
306,Park Slope and Carroll Gardens,b30,scen2,poverty,13.80512
307,Sunset Park,b30,scen2,poverty,23.9989
308,Crown Heights and Prospect Heights,b30,scen2,poverty,24.39349
309,South Crown Heights and Lefferts Gardens,b30,scen2,poverty,24.57285
310,Bay Ridge and Dyker Heights,b30,scen2,poverty,21.95139
311,Bensonhurst,b30,scen2,poverty,28.38995
312,Borough Park,b30,scen2,poverty,43.97044
313,Coney Island,b30,scen2,poverty,29.04306
314,Flatbush and Midwood,b30,scen2,poverty,21.76956
315,Sheepshead Bay,b30,scen2,poverty,24.9937
316,Brownsville,b30,scen2,poverty,50.03715
317,East Flatbush,b30,scen2,poverty,27.77226
318,Flatlands and Canarsie,b30,scen2,poverty,18.25155
401,Long Island City and Astoria,b30,scen2,poverty,20.87375
402,Woodside and Sunnyside,b30,scen2,poverty,15.42764
403,Jackson Heights,b30,scen2,poverty,27.8849
404,Elmhurst and Corona,b30,scen2,poverty,27.24079
405,Ridgewood and Maspeth,b30,scen2,poverty,18.33684
406,Rego Park and Forest Hills,b30,scen2,poverty,17.58052
407,Flushing and Whitestone,b30,scen2,poverty,27.81733
408,Hillcrest and Fresh Meadows,b30,scen2,poverty,28.18909
409,Kew Gardens and Woodhaven,b30,scen2,poverty,15.73356
410,South Ozone Park and Howard Beach,b30,scen2,poverty,23.46778
411,Bayside and Little Neck,b30,scen2,poverty,15.63789
412,Jamaica and Hollis,b30,scen2,poverty,24.06854
413,Queens Village,b30,scen2,poverty,12.35352
414,Rockaway and Broad Channel,b30,scen2,poverty,30.34676
501,St. George and Stapleton,b30,scen2,poverty,33.92899
502,South Beach and Willowbrook,b30,scen2,poverty,15.48461
503,Tottenville and Great Kills,b30,scen2,poverty,13.14078
101,Financial District,b30,scen2,prematuremort,101.2222
102,Greenwich Village and Soho,b30,scen2,prematuremort,101.2222
103,Lower East Side and Chinatown,b30,scen2,prematuremort,180.3417
104,Clinton and Chelsea,b30,scen2,prematuremort,83.24562
105,Midtown,b30,scen2,prematuremort,68.45831
106,Stuyvesant Town and Turtle Bay,b30,scen2,prematuremort,68.45831
107,Upper West Side,b30,scen2,prematuremort,140.4201
108,Upper East Side,b30,scen2,prematuremort,96.89644
109,Morningside Heights and Hamilton Heights,b30,scen2,prematuremort,225.2737
110,Central Harlem,b30,scen2,prematuremort,302.5207
111,East Harlem,b30,scen2,prematuremort,325.7217
112,Washington Heights and Inwood,b30,scen2,prematuremort,190.6364
201,Mott Haven and Melrose,b30,scen2,prematuremort,314.3584
202,Hunts Point and Longwood,b30,scen2,prematuremort,314.3584
203,Morrisania and Crotona,b30,scen2,prematuremort,365.0204
204,Highbridge and Concourse,b30,scen2,prematuremort,314.2906
205,Fordham and University Heights,b30,scen2,prematuremort,369.0726
206,Belmont and East Tremont,b30,scen2,prematuremort,365.0204
207,Kingsbridge Heights and Bedford,b30,scen2,prematuremort,256.3878
208,Riverdale and Fieldston,b30,scen2,prematuremort,198.3464
209,Parkchester and Soundview,b30,scen2,prematuremort,298.5716
210,Throgs Neck and Co-op City,b30,scen2,prematuremort,221.0709
211,Morris Park and Bronxdale,b30,scen2,prematuremort,225.607
212,Williamsbridge and Baychester,b30,scen2,prematuremort,282.9707
301,Greenpoint and Williamsburg,b30,scen2,prematuremort,136.8544
302,Fort Greene and Brooklyn Heights,b30,scen2,prematuremort,126.7246
303,Bedford Stuyvesant,b30,scen2,prematuremort,261.4076
304,Bushwick,b30,scen2,prematuremort,155.4399
305,East New York and Starrett City,b30,scen2,prematuremort,303.0484
306,Park Slope and Carroll Gardens,b30,scen2,prematuremort,115.7371
307,Sunset Park,b30,scen2,prematuremort,131.895
308,Crown Heights and Prospect Heights,b30,scen2,prematuremort,235.5583
309,South Crown Heights and Lefferts Gardens,b30,scen2,prematuremort,233.7938
310,Bay Ridge and Dyker Heights,b30,scen2,prematuremort,132.2345
311,Bensonhurst,b30,scen2,prematuremort,149.4018
312,Borough Park,b30,scen2,prematuremort,226.9665
313,Coney Island,b30,scen2,prematuremort,180.7856
314,Flatbush and Midwood,b30,scen2,prematuremort,151.1192
315,Sheepshead Bay,b30,scen2,prematuremort,123.3742
316,Brownsville,b30,scen2,prematuremort,406.7808
317,East Flatbush,b30,scen2,prematuremort,268.8745
318,Flatlands and Canarsie,b30,scen2,prematuremort,229.6345
401,Long Island City and Astoria,b30,scen2,prematuremort,114.7488
402,Woodside and Sunnyside,b30,scen2,prematuremort,50.96601
403,Jackson Heights,b30,scen2,prematuremort,134.1439
404,Elmhurst and Corona,b30,scen2,prematuremort,124.6626
405,Ridgewood and Maspeth,b30,scen2,prematuremort,144.6097
406,Rego Park and Forest Hills,b30,scen2,prematuremort,100.3884
407,Flushing and Whitestone,b30,scen2,prematuremort,129.1909
408,Hillcrest and Fresh Meadows,b30,scen2,prematuremort,148.2802
409,Kew Gardens and Woodhaven,b30,scen2,prematuremort,101.0416
410,South Ozone Park and Howard Beach,b30,scen2,prematuremort,157.3743
411,Bayside and Little Neck,b30,scen2,prematuremort,82.2448
412,Jamaica and Hollis,b30,scen2,prematuremort,217.4333
413,Queens Village,b30,scen2,prematuremort,191.1597
414,Rockaway and Broad Channel,b30,scen2,prematuremort,284.3976
501,St. George and Stapleton,b30,scen2,prematuremort,270.7463
502,South Beach and Willowbrook,b30,scen2,prematuremort,146.1208
503,Tottenville and Great Kills,b30,scen2,prematuremort,149.128
101,Financial District,b30,scen3,poverty,15.86703
102,Greenwich Village and Soho,b30,scen3,poverty,15.86703
103,Lower East Side and Chinatown,b30,scen3,poverty,38.44466
104,Clinton and Chelsea,b30,scen3,poverty,18.44921
105,Midtown,b30,scen3,poverty,16.25315
106,Stuyvesant Town and Turtle Bay,b30,scen3,poverty,16.25315
107,Upper West Side,b30,scen3,poverty,18.41738
108,Upper East Side,b30,scen3,poverty,9.03799
109,Morningside Heights and Hamilton Heights,b30,scen3,poverty,46.4065
110,Central Harlem,b30,scen3,poverty,36.32028
111,East Harlem,b30,scen3,poverty,52.1986
112,Washington Heights and Inwood,b30,scen3,poverty,28.28016
201,Mott Haven and Melrose,b30,scen3,poverty,53.41483
202,Hunts Point and Longwood,b30,scen3,poverty,53.41483
203,Morrisania and Crotona,b30,scen3,poverty,60.7644
204,Highbridge and Concourse,b30,scen3,poverty,48.9489
205,Fordham and University Heights,b30,scen3,poverty,54.15434
206,Belmont and East Tremont,b30,scen3,poverty,60.7644
207,Kingsbridge Heights and Bedford,b30,scen3,poverty,45.91827
208,Riverdale and Fieldston,b30,scen3,poverty,29.9745
209,Parkchester and Soundview,b30,scen3,poverty,51.19469
210,Throgs Neck and Co-op City,b30,scen3,poverty,24.53589
211,Morris Park and Bronxdale,b30,scen3,poverty,33.1258
212,Williamsbridge and Baychester,b30,scen3,poverty,31.16449
301,Greenpoint and Williamsburg,b30,scen3,poverty,25.64507
302,Fort Greene and Brooklyn Heights,b30,scen3,poverty,20.02409
303,Bedford Stuyvesant,b30,scen3,poverty,35.33216
304,Bushwick,b30,scen3,poverty,23.64183
305,East New York and Starrett City,b30,scen3,poverty,34.68729
306,Park Slope and Carroll Gardens,b30,scen3,poverty,15.51163
307,Sunset Park,b30,scen3,poverty,29.17389
308,Crown Heights and Prospect Heights,b30,scen3,poverty,27.20689
309,South Crown Heights and Lefferts Gardens,b30,scen3,poverty,29.62142
310,Bay Ridge and Dyker Heights,b30,scen3,poverty,24.94748
311,Bensonhurst,b30,scen3,poverty,32.51741
312,Borough Park,b30,scen3,poverty,47.22812
313,Coney Island,b30,scen3,poverty,33.09463
314,Flatbush and Midwood,b30,scen3,poverty,26.79548
315,Sheepshead Bay,b30,scen3,poverty,28.02499
316,Brownsville,b30,scen3,poverty,51.6598
317,East Flatbush,b30,scen3,poverty,32.0045
318,Flatlands and Canarsie,b30,scen3,poverty,22.56394
401,Long Island City and Astoria,b30,scen3,poverty,24.83159
402,Woodside and Sunnyside,b30,scen3,poverty,21.87464
403,Jackson Heights,b30,scen3,poverty,34.08106
404,Elmhurst and Corona,b30,scen3,poverty,33.60825
405,Ridgewood and Maspeth,b30,scen3,poverty,22.40278
406,Rego Park and Forest Hills,b30,scen3,poverty,19.06906
407,Flushing and Whitestone,b30,scen3,poverty,31.7322
408,Hillcrest and Fresh Meadows,b30,scen3,poverty,31.22338
409,Kew Gardens and Woodhaven,b30,scen3,poverty,24.83312
410,South Ozone Park and Howard Beach,b30,scen3,poverty,27.5174
411,Bayside and Little Neck,b30,scen3,poverty,19.20609
412,Jamaica and Hollis,b30,scen3,poverty,29.1108
413,Queens Village,b30,scen3,poverty,17.43865
414,Rockaway and Broad Channel,b30,scen3,poverty,34.30104
501,St. George and Stapleton,b30,scen3,poverty,35.84137
502,South Beach and Willowbrook,b30,scen3,poverty,16.28296
503,Tottenville and Great Kills,b30,scen3,poverty,17.11011
101,Financial District,b30,scen3,prematuremort,105.4825
102,Greenwich Village and Soho,b30,scen3,prematuremort,105.4825
103,Lower East Side and Chinatown,b30,scen3,prematuremort,193.3533
104,Clinton and Chelsea,b30,scen3,prematuremort,87.9541
105,Midtown,b30,scen3,prematuremort,74.9986
106,Stuyvesant Town and Turtle Bay,b30,scen3,prematuremort,74.9986
107,Upper West Side,b30,scen3,prematuremort,143.0941
108,Upper East Side,b30,scen3,prematuremort,102.8744
109,Morningside Heights and Hamilton Heights,b30,scen3,prematuremort,239.4934
110,Central Harlem,b30,scen3,prematuremort,306.2962
111,East Harlem,b30,scen3,prematuremort,337.0368
112,Washington Heights and Inwood,b30,scen3,prematuremort,198.391
201,Mott Haven and Melrose,b30,scen3,prematuremort,324.1185
202,Hunts Point and Longwood,b30,scen3,prematuremort,324.1185
203,Morrisania and Crotona,b30,scen3,prematuremort,380.2531
204,Highbridge and Concourse,b30,scen3,prematuremort,325.4976
205,Fordham and University Heights,b30,scen3,prematuremort,389.4042
206,Belmont and East Tremont,b30,scen3,prematuremort,380.2531
207,Kingsbridge Heights and Bedford,b30,scen3,prematuremort,272.9055
208,Riverdale and Fieldston,b30,scen3,prematuremort,219.5322
209,Parkchester and Soundview,b30,scen3,prematuremort,322.9783
210,Throgs Neck and Co-op City,b30,scen3,prematuremort,225.6585
211,Morris Park and Bronxdale,b30,scen3,prematuremort,238.6156
212,Williamsbridge and Baychester,b30,scen3,prematuremort,294.6698
301,Greenpoint and Williamsburg,b30,scen3,prematuremort,138.74
302,Fort Greene and Brooklyn Heights,b30,scen3,prematuremort,134.4769
303,Bedford Stuyvesant,b30,scen3,prematuremort,273.7749
304,Bushwick,b30,scen3,prematuremort,160.2257
305,East New York and Starrett City,b30,scen3,prematuremort,319.6353
306,Park Slope and Carroll Gardens,b30,scen3,prematuremort,121.7451
307,Sunset Park,b30,scen3,prematuremort,150.1142
308,Crown Heights and Prospect Heights,b30,scen3,prematuremort,245.4632
309,South Crown Heights and Lefferts Gardens,b30,scen3,prematuremort,251.5679
310,Bay Ridge and Dyker Heights,b30,scen3,prematuremort,142.7826
311,Bensonhurst,b30,scen3,prematuremort,163.933
312,Borough Park,b30,scen3,prematuremort,238.4355
313,Coney Island,b30,scen3,prematuremort,195.0496
314,Flatbush and Midwood,b30,scen3,prematuremort,168.8136
315,Sheepshead Bay,b30,scen3,prematuremort,134.0462
316,Brownsville,b30,scen3,prematuremort,412.4935
317,East Flatbush,b30,scen3,prematuremort,283.7746
318,Flatlands and Canarsie,b30,scen3,prematuremort,244.8167
401,Long Island City and Astoria,b30,scen3,prematuremort,128.6828
402,Woodside and Sunnyside,b30,scen3,prematuremort,73.66344
403,Jackson Heights,b30,scen3,prematuremort,155.9582
404,Elmhurst and Corona,b30,scen3,prematuremort,147.08
405,Ridgewood and Maspeth,b30,scen3,prematuremort,158.9243
406,Rego Park and Forest Hills,b30,scen3,prematuremort,105.6289
407,Flushing and Whitestone,b30,scen3,prematuremort,142.9736
408,Hillcrest and Fresh Meadows,b30,scen3,prematuremort,158.9628
409,Kew Gardens and Woodhaven,b30,scen3,prematuremort,133.0776
410,South Ozone Park and Howard Beach,b30,scen3,prematuremort,171.6314
411,Bayside and Little Neck,b30,scen3,prematuremort,94.80707
412,Jamaica and Hollis,b30,scen3,prematuremort,235.1852
413,Queens Village,b30,scen3,prematuremort,209.0625
414,Rockaway and Broad Channel,b30,scen3,prematuremort,298.3191
501,St. George and Stapleton,b30,scen3,prematuremort,277.479
502,South Beach and Willowbrook,b30,scen3,prematuremort,148.9315
503,Tottenville and Great Kills,b30,scen3,prematuremort,163.1025
