Brand Name,Item Name,Calories needed for 50g added sugar,NFL: Calories,NFL: Added Sugars
Pepsi,Soda,183,150,41
Pepsi,Throwback Cola,188,150,40
Pepsi,Wild Cherry & Cream Soda,183,150,41
Pepsi,Wild Cherry Soda,190,160,42
Pibb Xtra,Spicy Cherry Soda,184,140,38
Polar,Maltin Malt Beverage,380,190,25
Polar,Peaches in Light Syrup,237,90,19
Polar,Mixed Fruit in Light Syrup,265,90,17
Polar,Fruit Cocktail,167,50,15
Polar,Premium Tonic Water Crafted with Quinine,184,70,19
Power Edge,Mountain Berry Blast Sports Drink,200,140,35
Power Edge,Grape Sports Drink,200,140,35
Power Edge,Melon Flavored Sports Drink,190,80,21
Power Edge,Sour Blue Razz Flavored Sports Drink,190,80,21
Power Edge,"Fruit Punch,Mountain Berry Blast, Grape Sports Drink",200,140,35
Powerade,Mountain Berry Blast Sports Drink,190,80,21
Powerade,Fruit Punch Sports Drink,190,80,21
Powerade,Orange Sports Drink,190,80,21
Powerade,Grape Flavor Sports Drink,200,140,35
Q Mixers,Spicy Grapefruit Margarita Mix,222,80,18
Q Mixers,Tropical Ginger Beer,225,90,20
Q Mixers,Spicy Mango Margarita Mix,237,90,19
Ramune,Strawberry Flavor Carbonated Soft Drink,235,80,17
Ramune,Melon Flavor Carbonated Soft Drink,217,100,23
Ramune,Peach Flavor Soft Drink,196,90,23
Ramune,"Original Flavor, Carbonated Soft Drink",222,80,18
Ramune,Pineapple Flavor Hello Kitty Carbonate Soft Drink,206,70,17
RC COLA,Cola,174,150,43
RC COLA,Cherry Cola,182,160,44
Reading Draft,Orange Cream Reserve Soda,202,170,42
Reading Draft,Blueberry Birch Soda,202,170,42
Reading Draft,Birch Beer Premium Reserve Soda,202,170,42
Red Bull,Coconut Berry Energy Drink,212,110,26
Red Bull,Strawberry Apricot Energy Drink,211,160,38
Red Bull,Juneberry Energy Drink,211,160,38
Red Bull,Tropical Energy Drink,211,160,38
Red Bull,Watermelon Energy Drink,212,110,26
Red Bull,Curuba Elderflower The Summer Edition Energy Drink,211,160,38
Red Bull,Wild Berries Energy Drink,211,160,38
Rise Brewing Co.,"Coffee, Dairy Free, Organic, Cold Brew, Oat Milk Latte",563,180,16
Rise Brewing Co.,"Coffee, Dairy Free, Organic, Cold Brew, Oat Milk Mocha",556,200,18
Rise Brewing Co.,"Coffee, Dairy Free, Organic, Cold Brew, Oat Milk Vanilla",594,190,16
Rockstar,Fruit Punch with Natural Flavor,205,250,61
Rockstar,Energy Drink,206,260,63
Rockstar,Whipped Strawberry Energy Drink,212,280,66
Rockstar,Pina Colada Boom Non Alcoholic Energy Drink,199,270,68
Rockstar,Pineapple Energy Drink,197,240,61
San Pellegrino,Aranciata Sparkling Orange & Blood Orange Beverage,271,130,24
San Pellegrino,Limonata Italian Sparkling Drinks,220,110,25
San Pellegrino,Orange and Pomegranate Sparkling Beverage,261,120,23
San Pellegrino,Aranciata Sparkling Orange Beverage,273,120,22
San Pellegrino,Grapefruit Sparkling Beverage,250,130,26
Schweppes,Ginger Ale,182,120,33
Schweppes,Tonic Water,197,130,33
Schweppes,Raspberry Ginger Ale,184,140,38
Schweppes,Premium Ginger Ale,196,180,46
Seagrams,Ginger Ale,191,130,34
Seagrams,"Ginger Ale, Fridge Pack",197,130,33
Shasta,Ginger Ale,206,70,17
Shasta,Raspberry Cr�me Soda,206,140,34
Shasta,Draft Style Root Beer Cola,205,90,22
Shasta,"Soda, Lemon Lime, Twist",200,80,20
Sierra Mist,Caffeine Free Lemon Lime Flavored Soda,196,90,23
Simply,Lemonade,204,110,27
Simply,"Lemonade, with Raspberry",220,110,25
Simply,"Lemonade, with Strawberry",220,110,25
Simply,Strawberry Juice Drink,208,100,24
Simply,Limeade,214,120,28
Simply,Cranberry Cocktail,232,130,28
Snapple,Kiwi Strawberry Juice Drink,214,90,21
Snapple,Fruit Punch Juice Drink,238,100,21
Snapple,Mango Madness Juice Drink,250,100,20
Snapple,All Natural Peach Tea & Lemonade,208,150,36
Snapple,Snapple Apple Juice Drink,238,100,21
Snapple,Lemonade Iced Tea,210,210,50
SoBe,Cranberry Grapefruit Elixir Flavored Beverage ,198,250,63
SoBe,Morning Patrol Strawberry Banana Drink,202,250,62
SoBe,Pina Colada Liz Blizz,202,250,62
Sprecher,Cream Craft Soda,250,300,60
Sprecher,Strawberry Charged Lemonade Carbonated Sparkling Drink,200,140,35
Sprecher,"Fire-Brewed Craft Soda, Root Beer",255,260,51
Sprecher,Orange Dream Craft Soda,202,230,57
Sprecher,Caffeinated Root Beer,255,260,51
Sprite,Soda,184,140,38
Sprite,"Cherry Lime, Chill Soda",188,240,64
Sprite,Lemon-Lime and Tea Flavored Soda,189,140,37
Sprite,Winter Spiced Cranberry Soda,185,200,54
Sprite,Lemon-Lime Soda,184,140,38
Squirt,Grapefruit Soda Thirst Quencher,194,140,36
