Pollutant,Tertile,Source,Value,Time,Season
BC,High,Traffic Density,0.928020464,2020,ALL
BC,ALL,ALL,0.741757725,2020,ALL
NO,ALL,ALL,16.34332709,2020,ALL
NO2,ALL,ALL,18.13064111,2020,ALL
O3,ALL,ALL,30.30524838,2020,ALL
PM2.5,ALL,ALL,6.696265595,2020,ALL
SO2,ALL,ALL,0.103214836,2020,ALL
BC,ALL,ALL,0.750314631,2019,Winter
NO,ALL,ALL,25.31973739,2019,Winter
NO2,ALL,ALL,24.67869607,2019,Winter
PM2.5,ALL,ALL,7.756523337,2019,Winter
SO2,ALL,ALL,0.149444911,2019,Winter
BC,ALL,ALL,0.684017841,2019,Spring
NO,ALL,ALL,12.87937101,2019,Spring
NO2,ALL,ALL,17.65753135,2019,Spring
PM2.5,ALL,ALL,6.479882355,2019,Spring
BC,ALL,ALL,0.985874288,2019,Summer
NO,ALL,ALL,9.882822838,2019,Summer
NO2,ALL,ALL,16.08963917,2019,Summer
O3,ALL,ALL,30.67650387,2019,Summer
PM2.5,ALL,ALL,9.284760574,2019,Summer
BC,ALL,ALL,0.772670602,2019,Fall
NO,ALL,ALL,16.55407956,2019,Fall
NO2,ALL,ALL,18.56730561,2019,Fall
PM2.5,ALL,ALL,6.218416108,2019,Fall
PM2.5,Low,Boiler PM2.5 Emissions,6.593052707,2019,ALL
PM2.5,Medium,Boiler PM2.5 Emissions,7.22494134,2019,ALL
PM2.5,High,Boiler PM2.5 Emissions,8.443864395,2019,ALL
PM2.5,Low,Commercial Cooking,7.344873898,2019,ALL
PM2.5,Medium,Commercial Cooking,6.726959527,2019,ALL
PM2.5,High,Commercial Cooking,8.159129298,2019,ALL
PM2.5,Low,Traffic Density,6.569471059,2019,ALL
PM2.5,Medium,Traffic Density,6.932168004,2019,ALL
PM2.5,High,Traffic Density,8.742084532,2019,ALL
NO2,Low,Building Density,16.26315726,2019,ALL
NO2,Medium,Building Density,18.82853831,2019,ALL
NO2,High,Building Density,24.46514535,2019,ALL
NO2,Low,Traffic NOx Emissions,17.17134908,2019,ALL
NO2,Medium,Traffic NOx Emissions,17.7056606,2019,ALL
NO2,High,Traffic NOx Emissions,24.37128531,2019,ALL
O3,Low,Traffic Density,32.15445626,2019,ALL
O3,Medium,Traffic Density,30.77244365,2019,ALL
O3,High,Traffic Density,27.25134282,2019,ALL
NO,Low,Boiler Density,13.55623737,2019,ALL
NO,Medium,Boiler Density,16.86069356,2019,ALL
NO,High,Boiler Density,21.12144394,2019,ALL
NO,Low,Traffic NOx Emissions,13.69394384,2019,ALL
NO,Medium,Traffic NOx Emissions,13.04921012,2019,ALL
NO,High,Traffic NOx Emissions,24.82745759,2019,ALL
BC,Low,Industrial Areas,0.76651418,2019,ALL
BC,Medium,Industrial Areas,0.731458142,2019,ALL
BC,High,Industrial Areas,1.022450783,2019,ALL
BC,Low,Commercial Cooking,0.84204277,2019,ALL
BC,Medium,Commercial Cooking,0.694948007,2019,ALL
BC,High,Commercial Cooking,0.961527959,2019,ALL
BC,Low,Traffic Density,0.695143434,2019,ALL
BC,Medium,Traffic Density,0.740335953,2019,ALL
BC,High,Traffic Density,1.070394086,2019,ALL
BC,ALL,ALL,0.79821934,2019,ALL
NO,ALL,ALL,16.1590027,2019,ALL
NO2,ALL,ALL,19.24829305,2019,ALL
O3,ALL,ALL,30.67650387,2019,ALL
PM2.5,ALL,ALL,7.434895593,2019,ALL
SO2,ALL,ALL,0.149444911,2019,ALL
BC,ALL,ALL,0.915302088,2018,Winter
NO,ALL,ALL,24.64110396,2018,Winter
NO2,ALL,ALL,26.1109229,2018,Winter
PM2.5,ALL,ALL,9.071296957,2018,Winter
SO2,ALL,ALL,0.275377291,2018,Winter
BC,ALL,ALL,0.78030859,2018,Spring
NO,ALL,ALL,15.35730528,2018,Spring
NO2,ALL,ALL,20.85733272,2018,Spring
PM2.5,ALL,ALL,7.339018779,2018,Spring
BC,ALL,ALL,1.003691009,2018,Summer
NO,ALL,ALL,11.04370265,2018,Summer
NO2,ALL,ALL,16.06886122,2018,Summer
O3,ALL,ALL,29.71979979,2018,Summer
PM2.5,ALL,ALL,9.491298365,2018,Summer
BC,ALL,ALL,0.790481885,2018,Fall
NO,ALL,ALL,20.3418072,2018,Fall
NO2,ALL,ALL,19.23348841,2018,Fall
PM2.5,ALL,ALL,6.100669627,2018,Fall
PM2.5,Low,Boiler PM2.5 Emissions,7.290164561,2018,ALL
PM2.5,Medium,Boiler PM2.5 Emissions,7.552521475,2018,ALL
PM2.5,High,Boiler PM2.5 Emissions,9.279172165,2018,ALL
PM2.5,Low,Commercial Cooking,7.622350018,2018,ALL
PM2.5,Medium,Commercial Cooking,7.281118641,2018,ALL
PM2.5,High,Commercial Cooking,9.201327974,2018,ALL
PM2.5,Low,Traffic Density,7.205026723,2018,ALL
PM2.5,Medium,Traffic Density,7.270215305,2018,ALL
PM2.5,High,Traffic Density,9.643356744,2018,ALL
NO2,Low,Building Density,17.65870509,2018,ALL
NO2,Medium,Building Density,20.22988849,2018,ALL
NO2,High,Building Density,25.34691163,2018,ALL
NO2,Low,Traffic NOx Emissions,18.81346673,2018,ALL
NO2,Medium,Traffic NOx Emissions,18.82890669,2018,ALL
NO2,High,Traffic NOx Emissions,25.33650864,2018,ALL
O3,Low,Traffic Density,32.1251881,2018,ALL
O3,Medium,Traffic Density,29.72160643,2018,ALL
O3,High,Traffic Density,26.5880835,2018,ALL
NO,Low,Boiler Density,14.4846319,2018,ALL
NO,Medium,Boiler Density,19.10369739,2018,ALL
